analysis	correlation_type	network_pair	condition_contrast	n	mean_delta_fisher_z	sd_delta_fisher_z	sem_delta_fisher_z	t_1sample	p_signflip_two_sided	n_permutations
smith09_denoised	full	auditory__ecn	both-minus-sham	27	0.02461806284	0.2434257272	0.04684730304	0.5254958396	0.6219337807	100000
smith09_denoised	full	auditory__ecn	both-minus-rtpj	27	0.02625092124	0.1914264021	0.03684002826	0.7125651764	0.4844651553	100000
smith09_denoised	full	auditory__ecn	both-minus-vlpfc	27	0.04365151154	0.2177404438	0.04190416795	1.041698563	0.3155768442	100000
smith09_denoised	full	auditory__ecn	rtpj-minus-vlpfc	27	0.01740059031	0.1615132676	0.03108324285	0.5598061435	0.5823741763	100000
smith09_denoised	full	auditory__ecn	rtpj-minus-sham	27	-0.001632858389	0.1759320941	0.0338581473	-0.04822645416	0.9615903841	100000
smith09_denoised	full	auditory__ecn	vlpfc-minus-sham	27	-0.0190334487	0.1908382851	0.03672684508	-0.5182434989	0.606503935	100000
smith09_denoised	full	auditory__ecn	both-minus-mean-rtpj-vlpfc	27	0.03495121638	0.1884299611	0.03626336292	0.9638161927	0.3476565234	100000
smith09_denoised	full	auditory__left-fpn	both-minus-sham	27	0.01499431387	0.1783634124	0.03432605471	0.4368201936	0.6772732273	100000
smith09_denoised	full	auditory__left-fpn	both-minus-rtpj	27	-0.01864857548	0.1732357722	0.03333923991	-0.5593581478	0.5836141639	100000
smith09_denoised	full	auditory__left-fpn	both-minus-vlpfc	27	0.03805851325	0.2063281054	0.0397078624	0.9584629076	0.3599864001	100000
smith09_denoised	full	auditory__left-fpn	rtpj-minus-vlpfc	27	0.05670708873	0.1887387021	0.03632278015	1.561199019	0.1319486805	100000
smith09_denoised	full	auditory__left-fpn	rtpj-minus-sham	27	0.03364288935	0.1942281049	0.03737921621	0.9000426645	0.3728062719	100000
smith09_denoised	full	auditory__left-fpn	vlpfc-minus-sham	27	-0.02306419938	0.1469529269	0.02828110396	-0.8155339133	0.4251257487	100000
smith09_denoised	full	auditory__left-fpn	both-minus-mean-rtpj-vlpfc	27	0.009704968881	0.165485303	0.03184766141	0.304730974	0.7744722553	100000
smith09_denoised	full	auditory__right-fpn	both-minus-sham	27	-0.03452183922	0.1885942585	0.03629498197	-0.951146339	0.3477465225	100000
smith09_denoised	full	auditory__right-fpn	both-minus-rtpj	27	-0.0475568432	0.2244397557	0.04319345112	-1.10101976	0.2794672053	100000
smith09_denoised	full	auditory__right-fpn	both-minus-vlpfc	27	-0.03376347055	0.2016286184	0.0388034457	-0.870115268	0.4011159888	100000
smith09_denoised	full	auditory__right-fpn	rtpj-minus-vlpfc	27	0.01379337264	0.2116395053	0.04073004179	0.3386535352	0.7372526275	100000
smith09_denoised	full	auditory__right-fpn	rtpj-minus-sham	27	0.01303500397	0.1422775543	0.02738132809	0.4760544826	0.6466935331	100000
smith09_denoised	full	auditory__right-fpn	vlpfc-minus-sham	27	-0.0007583686726	0.154421694	0.02971846887	-0.02551843017	0.9796802032	100000
