analysis	correlation_type	network_pair	condition_contrast	n	mean_delta_fisher_z	sd_delta_fisher_z	sem_delta_fisher_z	t_1sample	p_signflip_two_sided	n_permutations
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-sham	27	0.06891930369	0.1693196777	0.03258558717	2.115024147	0.0443895561	100000
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-rtpj	27	0.03024955274	0.1880989373	0.03619965737	0.835630913	0.4100758992	100000
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-vlpfc	27	0.01260704246	0.1573557026	0.03028311908	0.4163059436	0.6807131929	100000
smith09-reward_denoised	full	auditory__brain-reward-signature	rtpj-minus-vlpfc	27	-0.01764251028	0.1921371	0.03697680213	-0.4771237442	0.6391536085	100000
smith09-reward_denoised	full	auditory__brain-reward-signature	rtpj-minus-sham	27	0.03866975095	0.1646304601	0.03168314681	1.220514843	0.2314176858	100000
smith09-reward_denoised	full	auditory__brain-reward-signature	vlpfc-minus-sham	27	0.05631226122	0.2035565017	0.03917446701	1.437473577	0.1641583584	100000
smith09-reward_denoised	full	auditory__brain-reward-signature	both-minus-mean-rtpj-vlpfc	27	0.0214282976	0.1443670578	0.02778345324	0.7712611324	0.4469455305	100000
smith09-reward_denoised	full	auditory__brain-reward-signature	mean-stimulation-minus-sham	27	0.05463377196	0.1470313952	0.02829620519	1.93078088	0.06514934851	100000
smith09-reward_denoised	full	auditory__ecn	both-minus-sham	27	0.02394169547	0.2430454312	0.04677411504	0.5118577968	0.6331536685	100000
smith09-reward_denoised	full	auditory__ecn	both-minus-rtpj	27	0.02552498484	0.1909903671	0.03675611329	0.6944418917	0.4947450525	100000
smith09-reward_denoised	full	auditory__ecn	both-minus-vlpfc	27	0.04340928464	0.2182209191	0.04199663546	1.033637199	0.3169168308	100000
smith09-reward_denoised	full	auditory__ecn	rtpj-minus-vlpfc	27	0.0178842998	0.1621907924	0.03121363255	0.5729643858	0.5697543025	100000
smith09-reward_denoised	full	auditory__ecn	rtpj-minus-sham	27	-0.001583289369	0.1756400576	0.03380194484	-0.04684018557	0.9625703743	100000
smith09-reward_denoised	full	auditory__ecn	vlpfc-minus-sham	27	-0.01946758917	0.1915429749	0.03686246271	-0.5281141774	0.5987140129	100000
smith09-reward_denoised	full	auditory__ecn	both-minus-mean-rtpj-vlpfc	27	0.03446713474	0.1883411311	0.03624626757	0.9509154197	0.3560664393	100000
smith09-reward_denoised	full	auditory__ecn	mean-stimulation-minus-sham	27	0.000963605647	0.1730202702	0.03329776652	0.0289390475	0.9777402226	100000
smith09-reward_denoised	full	auditory__left-fpn	both-minus-sham	27	0.01512757535	0.1785068021	0.03435365007	0.4403484149	0.6730432696	100000
smith09-reward_denoised	full	auditory__left-fpn	both-minus-rtpj	27	-0.01805624017	0.172814415	0.03325814968	-0.5429117477	0.5957840422	100000
smith09-reward_denoised	full	auditory__left-fpn	both-minus-vlpfc	27	0.03855843792	0.2059136053	0.03962809183	0.9730076859	0.3512064879	100000
smith09-reward_denoised	full	auditory__left-fpn	rtpj-minus-vlpfc	27	0.05661467809	0.1894093149	0.03645183964	1.553136375	0.1332486675	100000
smith09-reward_denoised	full	auditory__left-fpn	rtpj-minus-sham	27	0.03318381552	0.1942410079	0.03738169939	0.8877021661	0.382196178	100000
smith09-reward_denoised	full	auditory__left-fpn	vlpfc-minus-sham	27	-0.02343086257	0.146668646	0.02822639407	-0.8301047065	0.4156658433	100000
smith09-reward_denoised	full	auditory__left-fpn	both-minus-mean-rtpj-vlpfc	27	0.01025109888	0.1648139718	0.03171846367	0.3231902713	0.7623823762	100000
smith09-reward_denoised	full	auditory__left-fpn	mean-stimulation-minus-sham	27	0.008293509437	0.1354731192	0.02607181395	0.3181025093	0.7524224758	100000
smith09-reward_denoised	full	auditory__right-fpn	both-minus-sham	27	-0.03106031672	0.1876484059	0.03611295255	-0.8600879886	0.3961260387	100000
smith09-reward_denoised	full	auditory__right-fpn	both-minus-rtpj	27	-0.04669863317	0.2226654404	0.04285198399	-1.089765953	0.286097139	100000
smith09-reward_denoised	full	auditory__right-fpn	both-minus-vlpfc	27	-0.03359463596	0.2019636846	0.03886792922	-0.8643279082	0.4059259407	100000
smith09-reward_denoised	full	auditory__right-fpn	rtpj-minus-vlpfc	27	0.01310399721	0.2122099909	0.04083983179	0.3208631534	0.7493825062	100000
smith09-reward_denoised	full	auditory__right-fpn	rtpj-minus-sham	27	0.01563831645	0.1412961672	0.02719246006	0.5750975238	0.577804222	100000
smith09-reward_denoised	full	auditory__right-fpn	vlpfc-minus-sham	27	0.002534319231	0.155154266	0.02985945241	0.08487493997	0.9334806652	100000
smith09-reward_denoised	full	auditory__right-fpn	both-minus-mean-rtpj-vlpfc	27	-0.04014663456	0.1841910532	0.03544758471	-1.13256333	0.2722272777	100000
smith09-reward_denoised	full	auditory__right-fpn	mean-stimulation-minus-sham	27	-0.004295893679	0.106638446	0.02052257851	-0.2093252403	0.8356216438	100000
smith09-reward_denoised	full	dmn__auditory	both-minus-sham	27	-0.03862018656	0.2086703763	0.04015863265	-0.9616907751	0.3456265437	100000
smith09-reward_denoised	full	dmn__auditory	both-minus-rtpj	27	0.02633247403	0.1619642233	0.0311700293	0.8448010675	0.403195968	100000
smith09-reward_denoised	full	dmn__auditory	both-minus-vlpfc	27	-0.01996114235	0.1646879849	0.03169421747	-0.6298039183	0.536604634	100000
smith09-reward_denoised	full	dmn__auditory	rtpj-minus-vlpfc	27	-0.04629361638	0.1469515295	0.02828083505	-1.63692537	0.1133788662	100000
smith09-reward_denoised	full	dmn__auditory	rtpj-minus-sham	27	-0.06495266059	0.1895924978	0.03648709322	-1.780154429	0.08627913721	100000
smith09-reward_denoised	full	dmn__auditory	vlpfc-minus-sham	27	-0.01865904421	0.1951467198	0.03755600373	-0.4968325262	0.6198638014	100000
smith09-reward_denoised	full	dmn__auditory	both-minus-mean-rtpj-vlpfc	27	0.003185665841	0.1458718032	0.02807304162	0.1134777586	0.9113408866	100000
smith09-reward_denoised	full	dmn__auditory	mean-stimulation-minus-sham	27	-0.04074396379	0.1756775317	0.03380915673	-1.205116238	0.2355176448	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	both-minus-sham	27	0.02940534409	0.1678748022	0.03230752074	0.9101702456	0.3752662473	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	both-minus-rtpj	27	-0.02277356583	0.1307868852	0.0251699478	-0.9047919373	0.3738462615	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	both-minus-vlpfc	27	0.020646297	0.1566716995	0.03015148263	0.6847522975	0.4987150128	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	rtpj-minus-vlpfc	27	0.04341986284	0.1622167208	0.03121862248	1.390832118	0.176898231	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	rtpj-minus-sham	27	0.05217890991	0.1531823784	0.02947996247	1.769978844	0.08893911061	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	vlpfc-minus-sham	27	0.008759047085	0.1673785029	0.0322120079	0.2719186929	0.787802122	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	both-minus-mean-rtpj-vlpfc	27	-0.001063634411	0.1193610039	0.02297103592	-0.04630328447	0.9635403646	100000
smith09-reward_denoised	full	dmn__brain-reward-signature	mean-stimulation-minus-sham	27	0.03011443369	0.1378491789	0.02652908685	1.135147767	0.2637773622	100000
smith09-reward_denoised	full	dmn__ecn	both-minus-sham	27	0.01124370129	0.1660752847	0.03196120344	0.3517921754	0.7276227238	100000
smith09-reward_denoised	full	dmn__ecn	both-minus-rtpj	27	-0.01066958662	0.1783063767	0.0343150782	-0.3109299811	0.7569624304	100000
smith09-reward_denoised	full	dmn__ecn	both-minus-vlpfc	27	-0.0169235082	0.1500156001	0.0288705157	-0.586186557	0.5633943661	100000
