analysis	correlation_type	network_a	component_a	network_b	component_b	network_pair	participant	run	condition	condition_order	dual_regression_label	n_timepoints	r	fisher_z
smith09_denoised	partial	primary-visual	1	right-fpn	9	primary-visual__right-fpn	sub-189	02	sham	01	subject00000	240	-0.104565649	-0.104949275
smith09_denoised	partial	primary-visual	1	left-fpn	10	primary-visual__left-fpn	sub-189	02	sham	01	subject00000	240	-0.2570853196	-0.2629849375
smith09_denoised	partial	occipital-pole	2	lateral-visual	3	occipital-pole__lateral-visual	sub-189	02	sham	01	subject00000	240	0.01929271948	0.01929511366
smith09_denoised	partial	occipital-pole	2	dmn	4	occipital-pole__dmn	sub-189	02	sham	01	subject00000	240	-0.1435354979	-0.1445335923
smith09_denoised	partial	occipital-pole	2	sensorimotor	6	occipital-pole__sensorimotor	sub-189	02	sham	01	subject00000	240	-0.1295760396	-0.1303086257
smith09_denoised	partial	occipital-pole	2	auditory	7	occipital-pole__auditory	sub-189	02	sham	01	subject00000	240	-0.151518269	-0.1526940155
smith09_denoised	partial	occipital-pole	2	ecn	8	occipital-pole__ecn	sub-189	02	sham	01	subject00000	240	0.130293961	0.131038876
smith09_denoised	partial	occipital-pole	2	right-fpn	9	occipital-pole__right-fpn	sub-189	02	sham	01	subject00000	240	-0.1810249698	-0.1830421818
smith09_denoised	partial	occipital-pole	2	left-fpn	10	occipital-pole__left-fpn	sub-189	02	sham	01	subject00000	240	-0.1365256831	-0.1373835436
smith09_denoised	partial	lateral-visual	3	dmn	4	lateral-visual__dmn	sub-189	02	sham	01	subject00000	240	-0.3281283095	-0.3407292792
smith09_denoised	partial	lateral-visual	3	sensorimotor	6	lateral-visual__sensorimotor	sub-189	02	sham	01	subject00000	240	-0.1203532114	-0.1209394158
smith09_denoised	partial	lateral-visual	3	auditory	7	lateral-visual__auditory	sub-189	02	sham	01	subject00000	240	0.1147857406	0.1152938939
smith09_denoised	partial	lateral-visual	3	ecn	8	lateral-visual__ecn	sub-189	02	sham	01	subject00000	240	-0.4090339432	-0.4344505098
smith09_denoised	partial	lateral-visual	3	right-fpn	9	lateral-visual__right-fpn	sub-189	02	sham	01	subject00000	240	0.0007751899096	0.0007751900649
smith09_denoised	partial	lateral-visual	3	left-fpn	10	lateral-visual__left-fpn	sub-189	02	sham	01	subject00000	240	-0.1541555224	-0.155394348
smith09_denoised	partial	dmn	4	sensorimotor	6	dmn__sensorimotor	sub-189	02	sham	01	subject00000	240	-0.09934966109	-0.0996784828
smith09_denoised	partial	dmn	4	auditory	7	dmn__auditory	sub-189	02	sham	01	subject00000	240	-0.3931543829	-0.4155256871
smith09_denoised	partial	dmn	4	ecn	8	dmn__ecn	sub-189	02	sham	01	subject00000	240	0.009210671926	0.009210932406
smith09_denoised	partial	dmn	4	right-fpn	9	dmn__right-fpn	sub-189	02	sham	01	subject00000	240	-0.1791394494	-0.1810934647
smith09_denoised	partial	dmn	4	left-fpn	10	dmn__left-fpn	sub-189	02	sham	01	subject00000	240	-0.123417667	-0.1240500863
smith09_denoised	partial	sensorimotor	6	auditory	7	sensorimotor__auditory	sub-189	02	sham	01	subject00000	240	0.05739155814	0.05745469489
smith09_denoised	partial	sensorimotor	6	ecn	8	sensorimotor__ecn	sub-189	02	sham	01	subject00000	240	-0.139129634	-0.1400379199
smith09_denoised	partial	sensorimotor	6	right-fpn	9	sensorimotor__right-fpn	sub-189	02	sham	01	subject00000	240	-0.2528001315	-0.2584018596
smith09_denoised	partial	sensorimotor	6	left-fpn	10	sensorimotor__left-fpn	sub-189	02	sham	01	subject00000	240	-0.0371446247	-0.03716172195
smith09_denoised	partial	auditory	7	ecn	8	auditory__ecn	sub-189	02	sham	01	subject00000	240	-0.07497380811	-0.07511476152
smith09_denoised	partial	auditory	7	right-fpn	9	auditory__right-fpn	sub-189	02	sham	01	subject00000	240	-0.04152023784	-0.04154412188
smith09_denoised	partial	auditory	7	left-fpn	10	auditory__left-fpn	sub-189	02	sham	01	subject00000	240	-0.04522144004	-0.04525230355
smith09_denoised	partial	ecn	8	right-fpn	9	ecn__right-fpn	sub-189	02	sham	01	subject00000	240	-0.0003812801703	-0.0003812801888
smith09_denoised	partial	ecn	8	left-fpn	10	ecn__left-fpn	sub-189	02	sham	01	subject00000	240	-0.3110476354	-0.3217048434
smith09_denoised	partial	right-fpn	9	left-fpn	10	right-fpn__left-fpn	sub-189	02	sham	01	subject00000	240	0.06046417555	0.06053802159
smith09_denoised	full	primary-visual	1	occipital-pole	2	primary-visual__occipital-pole	sub-189	01	rtpj	02	subject00001	240	-0.01127991145	-0.01128038989
smith09_denoised	full	primary-visual	1	lateral-visual	3	primary-visual__lateral-visual	sub-189	01	rtpj	02	subject00001	240	0.2539672939	0.2596490991
smith09_denoised	full	primary-visual	1	dmn	4	primary-visual__dmn	sub-189	01	rtpj	02	subject00001	240	-0.06401556956	-0.06410323032
smith09_denoised	full	primary-visual	1	sensorimotor	6	primary-visual__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.001372453407	-0.001372454269
smith09_denoised	full	primary-visual	1	auditory	7	primary-visual__auditory	sub-189	01	rtpj	02	subject00001	240	0.02948201258	0.02949055886
smith09_denoised	full	primary-visual	1	ecn	8	primary-visual__ecn	sub-189	01	rtpj	02	subject00001	240	0.08726829163	0.08749084745
smith09_denoised	full	primary-visual	1	right-fpn	9	primary-visual__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2705201029	-0.2774249074
smith09_denoised	full	primary-visual	1	left-fpn	10	primary-visual__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.1632279852	-0.1647012578
smith09_denoised	full	occipital-pole	2	lateral-visual	3	occipital-pole__lateral-visual	sub-189	01	rtpj	02	subject00001	240	0.01485547049	0.01485656343
smith09_denoised	full	occipital-pole	2	dmn	4	occipital-pole__dmn	sub-189	01	rtpj	02	subject00001	240	-0.02389699172	-0.02390154221
smith09_denoised	full	occipital-pole	2	sensorimotor	6	occipital-pole__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.06064894539	-0.0607234715
smith09_denoised	full	occipital-pole	2	auditory	7	occipital-pole__auditory	sub-189	01	rtpj	02	subject00001	240	0.1212586984	0.1218583133
smith09_denoised	full	occipital-pole	2	ecn	8	occipital-pole__ecn	sub-189	01	rtpj	02	subject00001	240	0.1669160563	0.1684926443
smith09_denoised	full	occipital-pole	2	right-fpn	9	occipital-pole__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.1790141703	-0.1809640349
smith09_denoised	full	occipital-pole	2	left-fpn	10	occipital-pole__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2558262484	-0.2616372278
smith09_denoised	full	lateral-visual	3	dmn	4	lateral-visual__dmn	sub-189	01	rtpj	02	subject00001	240	-0.491568705	-0.538126787
smith09_denoised	full	lateral-visual	3	sensorimotor	6	lateral-visual__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.0573560926	-0.05741911222
smith09_denoised	full	lateral-visual	3	auditory	7	lateral-visual__auditory	sub-189	01	rtpj	02	subject00001	240	0.2325673458	0.2369019088
smith09_denoised	full	lateral-visual	3	ecn	8	lateral-visual__ecn	sub-189	01	rtpj	02	subject00001	240	-0.3004638337	-0.3100293896
smith09_denoised	full	lateral-visual	3	right-fpn	9	lateral-visual__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2021475344	-0.2049705741
smith09_denoised	full	lateral-visual	3	left-fpn	10	lateral-visual__left-fpn	sub-189	01	rtpj	02	subject00001	240	0.1078096194	0.1082302439
smith09_denoised	full	dmn	4	sensorimotor	6	dmn__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.0313629129	-0.03137320217
smith09_denoised	full	dmn	4	auditory	7	dmn__auditory	sub-189	01	rtpj	02	subject00001	240	-0.4382165508	-0.4700213323
smith09_denoised	full	dmn	4	ecn	8	dmn__ecn	sub-189	01	rtpj	02	subject00001	240	0.3687852524	0.3870164074
smith09_denoised	full	dmn	4	right-fpn	9	dmn__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.1346433208	-0.1354659289
smith09_denoised	full	dmn	4	left-fpn	10	dmn__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.04627028695	-0.04630335006
smith09_denoised	full	sensorimotor	6	auditory	7	sensorimotor__auditory	sub-189	01	rtpj	02	subject00001	240	-0.01022750782	-0.01022786444
smith09_denoised	full	sensorimotor	6	ecn	8	sensorimotor__ecn	sub-189	01	rtpj	02	subject00001	240	0.2084212159	0.2115202972
smith09_denoised	full	sensorimotor	6	right-fpn	9	sensorimotor__right-fpn	sub-189	01	rtpj	02	subject00001	240	0.07335405082	0.07348604547
smith09_denoised	full	sensorimotor	6	left-fpn	10	sensorimotor__left-fpn	sub-189	01	rtpj	02	subject00001	240	0.008719543618	0.008719764612
smith09_denoised	full	auditory	7	ecn	8	auditory__ecn	sub-189	01	rtpj	02	subject00001	240	-0.01796099914	-0.01796293091
smith09_denoised	full	auditory	7	right-fpn	9	auditory__right-fpn	sub-189	01	rtpj	02	subject00001	240	0.1026852964	0.1030485109
smith09_denoised	full	auditory	7	left-fpn	10	auditory__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.1942706731	-0.1967715496
smith09_denoised	full	ecn	8	right-fpn	9	ecn__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.08009916504	-0.08027112962
smith09_denoised	full	ecn	8	left-fpn	10	ecn__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2181069792	-0.2216676736
smith09_denoised	full	right-fpn	9	left-fpn	10	right-fpn__left-fpn	sub-189	01	rtpj	02	subject00001	240	0.133484468	0.1342858666
smith09_denoised	partial	primary-visual	1	occipital-pole	2	primary-visual__occipital-pole	sub-189	01	rtpj	02	subject00001	240	-0.1187613593	-0.1193244795
smith09_denoised	partial	primary-visual	1	lateral-visual	3	primary-visual__lateral-visual	sub-189	01	rtpj	02	subject00001	240	0.2353352423	0.2398300755
smith09_denoised	partial	primary-visual	1	dmn	4	primary-visual__dmn	sub-189	01	rtpj	02	subject00001	240	-0.05713971815	-0.05720202631
smith09_denoised	partial	primary-visual	1	sensorimotor	6	primary-visual__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.0320695379	-0.03208053872
smith09_denoised	partial	primary-visual	1	auditory	7	primary-visual__auditory	sub-189	01	rtpj	02	subject00001	240	-0.05836537224	-0.05843178223
smith09_denoised	partial	primary-visual	1	ecn	8	primary-visual__ecn	sub-189	01	rtpj	02	subject00001	240	0.1402443822	0.1411748527
smith09_denoised	partial	primary-visual	1	right-fpn	9	primary-visual__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2189085932	-0.2225094802
smith09_denoised	partial	primary-visual	1	left-fpn	10	primary-visual__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.1991790145	-0.2018775069
smith09_denoised	partial	occipital-pole	2	lateral-visual	3	occipital-pole__lateral-visual	sub-189	01	rtpj	02	subject00001	240	0.01545820613	0.01545943758
smith09_denoised	partial	occipital-pole	2	dmn	4	occipital-pole__dmn	sub-189	01	rtpj	02	subject00001	240	-0.07853180365	-0.07869384529
smith09_denoised	partial	occipital-pole	2	sensorimotor	6	occipital-pole__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.08569185841	-0.08590253521
smith09_denoised	partial	occipital-pole	2	auditory	7	occipital-pole__auditory	sub-189	01	rtpj	02	subject00001	240	0.05222420236	0.0522717584
smith09_denoised	partial	occipital-pole	2	ecn	8	occipital-pole__ecn	sub-189	01	rtpj	02	subject00001	240	0.1622419687	0.1636884186
smith09_denoised	partial	occipital-pole	2	right-fpn	9	occipital-pole__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.1665842059	-0.1681513027
smith09_denoised	partial	occipital-pole	2	left-fpn	10	occipital-pole__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.190951861	-0.193324865
smith09_denoised	partial	lateral-visual	3	dmn	4	lateral-visual__dmn	sub-189	01	rtpj	02	subject00001	240	-0.3669883534	-0.3849382479
smith09_denoised	partial	lateral-visual	3	sensorimotor	6	lateral-visual__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.009719708339	-0.009720014438
smith09_denoised	partial	lateral-visual	3	auditory	7	lateral-visual__auditory	sub-189	01	rtpj	02	subject00001	240	0.1119638917	0.112435299
smith09_denoised	partial	lateral-visual	3	ecn	8	lateral-visual__ecn	sub-189	01	rtpj	02	subject00001	240	-0.1633207778	-0.1647965919
smith09_denoised	partial	lateral-visual	3	right-fpn	9	lateral-visual__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2467610432	-0.2519608924
smith09_denoised	partial	lateral-visual	3	left-fpn	10	lateral-visual__left-fpn	sub-189	01	rtpj	02	subject00001	240	0.1800238992	0.1820073882
smith09_denoised	partial	dmn	4	sensorimotor	6	dmn__sensorimotor	sub-189	01	rtpj	02	subject00001	240	-0.1579633922	-0.1592972771
smith09_denoised	partial	dmn	4	auditory	7	dmn__auditory	sub-189	01	rtpj	02	subject00001	240	-0.3856794734	-0.4067145354
smith09_denoised	partial	dmn	4	ecn	8	dmn__ecn	sub-189	01	rtpj	02	subject00001	240	0.3096147687	0.3201192776
smith09_denoised	partial	dmn	4	right-fpn	9	dmn__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2231821825	-0.2270026173
smith09_denoised	partial	dmn	4	left-fpn	10	dmn__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.05725658405	-0.05731927581
smith09_denoised	partial	sensorimotor	6	auditory	7	sensorimotor__auditory	sub-189	01	rtpj	02	subject00001	240	-0.07458698356	-0.07472576164
smith09_denoised	partial	sensorimotor	6	ecn	8	sensorimotor__ecn	sub-189	01	rtpj	02	subject00001	240	0.2495311231	0.254912739
smith09_denoised	partial	sensorimotor	6	right-fpn	9	sensorimotor__right-fpn	sub-189	01	rtpj	02	subject00001	240	0.003474421352	0.003474435333
smith09_denoised	partial	sensorimotor	6	left-fpn	10	sensorimotor__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.0374046026	-0.03742206158
smith09_denoised	partial	auditory	7	ecn	8	auditory__ecn	sub-189	01	rtpj	02	subject00001	240	0.1451553724	0.1461879364
smith09_denoised	partial	auditory	7	right-fpn	9	auditory__right-fpn	sub-189	01	rtpj	02	subject00001	240	0.08393378916	0.08413172769
smith09_denoised	partial	auditory	7	left-fpn	10	auditory__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.2352130345	-0.2397007066
smith09_denoised	partial	ecn	8	right-fpn	9	ecn__right-fpn	sub-189	01	rtpj	02	subject00001	240	-0.02472237146	-0.02472741004
smith09_denoised	partial	ecn	8	left-fpn	10	ecn__left-fpn	sub-189	01	rtpj	02	subject00001	240	-0.0952958588	-0.095585911
smith09_denoised	partial	right-fpn	9	left-fpn	10	right-fpn__left-fpn	sub-189	01	rtpj	02	subject00001	240	0.01874527256	0.01874746863
smith09_denoised	full	primary-visual	1	occipital-pole	2	primary-visual__occipital-pole	sub-189	04	vlpfc	03	subject00002	240	0.06112999512	0.06120631138
smith09_denoised	full	primary-visual	1	lateral-visual	3	primary-visual__lateral-visual	sub-189	04	vlpfc	03	subject00002	240	0.4528517638	0.4882819367
smith09_denoised	full	primary-visual	1	dmn	4	primary-visual__dmn	sub-189	04	vlpfc	03	subject00002	240	-0.1311163949	-0.1318756044
smith09_denoised	full	primary-visual	1	sensorimotor	6	primary-visual__sensorimotor	sub-189	04	vlpfc	03	subject00002	240	0.3355962257	0.3491215118
smith09_denoised	full	primary-visual	1	auditory	7	primary-visual__auditory	sub-189	04	vlpfc	03	subject00002	240	0.2287824207	0.2329042592
smith09_denoised	full	primary-visual	1	ecn	8	primary-visual__ecn	sub-189	04	vlpfc	03	subject00002	240	-0.3497100591	-0.3651133755
smith09_denoised	full	primary-visual	1	right-fpn	9	primary-visual__right-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.3567778939	-0.3731889429
smith09_denoised	full	primary-visual	1	left-fpn	10	primary-visual__left-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.2756114434	-0.2829264886
smith09_denoised	full	occipital-pole	2	lateral-visual	3	occipital-pole__lateral-visual	sub-189	04	vlpfc	03	subject00002	240	-0.2043630171	-0.2072815297
smith09_denoised	full	occipital-pole	2	dmn	4	occipital-pole__dmn	sub-189	04	vlpfc	03	subject00002	240	0.04335121122	0.04337839893
smith09_denoised	full	occipital-pole	2	sensorimotor	6	occipital-pole__sensorimotor	sub-189	04	vlpfc	03	subject00002	240	-0.08094231854	-0.08111978551
smith09_denoised	full	occipital-pole	2	auditory	7	occipital-pole__auditory	sub-189	04	vlpfc	03	subject00002	240	-0.216923354	-0.2204252664
smith09_denoised	full	occipital-pole	2	ecn	8	occipital-pole__ecn	sub-189	04	vlpfc	03	subject00002	240	0.3928077642	0.4151157619
smith09_denoised	full	occipital-pole	2	right-fpn	9	occipital-pole__right-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.2672054234	-0.2738519442
smith09_denoised	full	occipital-pole	2	left-fpn	10	occipital-pole__left-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.2092645386	-0.2124020791
smith09_denoised	full	lateral-visual	3	dmn	4	lateral-visual__dmn	sub-189	04	vlpfc	03	subject00002	240	-0.3090260085	-0.3194682253
smith09_denoised	full	lateral-visual	3	sensorimotor	6	lateral-visual__sensorimotor	sub-189	04	vlpfc	03	subject00002	240	0.1460157694	0.1470669646
smith09_denoised	full	lateral-visual	3	auditory	7	lateral-visual__auditory	sub-189	04	vlpfc	03	subject00002	240	0.3547535406	0.3708712383
smith09_denoised	full	lateral-visual	3	ecn	8	lateral-visual__ecn	sub-189	04	vlpfc	03	subject00002	240	-0.5880123859	-0.6746225778
smith09_denoised	full	lateral-visual	3	right-fpn	9	lateral-visual__right-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.1772764684	-0.1791693777
smith09_denoised	full	lateral-visual	3	left-fpn	10	lateral-visual__left-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.1609500256	-0.1623618338
smith09_denoised	full	dmn	4	sensorimotor	6	dmn__sensorimotor	sub-189	04	vlpfc	03	subject00002	240	-0.2617867264	-0.2680256304
smith09_denoised	full	dmn	4	auditory	7	dmn__auditory	sub-189	04	vlpfc	03	subject00002	240	-0.5080012545	-0.5600321069
smith09_denoised	full	dmn	4	ecn	8	dmn__ecn	sub-189	04	vlpfc	03	subject00002	240	0.3210408084	0.3328070856
smith09_denoised	full	dmn	4	right-fpn	9	dmn__right-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.1001268308	-0.1004634612
smith09_denoised	full	dmn	4	left-fpn	10	dmn__left-fpn	sub-189	04	vlpfc	03	subject00002	240	0.1372648205	0.1381367973
smith09_denoised	full	sensorimotor	6	auditory	7	sensorimotor__auditory	sub-189	04	vlpfc	03	subject00002	240	0.4725787156	0.5133853704
smith09_denoised	full	sensorimotor	6	ecn	8	sensorimotor__ecn	sub-189	04	vlpfc	03	subject00002	240	-0.2621662879	-0.2684331614
smith09_denoised	full	sensorimotor	6	right-fpn	9	sensorimotor__right-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.1264412782	-0.1271216389
smith09_denoised	full	sensorimotor	6	left-fpn	10	sensorimotor__left-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.2157220617	-0.219164999
smith09_denoised	full	auditory	7	ecn	8	auditory__ecn	sub-189	04	vlpfc	03	subject00002	240	-0.3456832203	-0.3605327633
smith09_denoised	full	auditory	7	right-fpn	9	auditory__right-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.09856277143	-0.09888381141
smith09_denoised	full	auditory	7	left-fpn	10	auditory__left-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.3020948035	-0.311823181
smith09_denoised	full	ecn	8	right-fpn	9	ecn__right-fpn	sub-189	04	vlpfc	03	subject00002	240	0.2140138674	0.2173741226
smith09_denoised	full	ecn	8	left-fpn	10	ecn__left-fpn	sub-189	04	vlpfc	03	subject00002	240	0.006277243584	0.006277326035
smith09_denoised	full	right-fpn	9	left-fpn	10	right-fpn__left-fpn	sub-189	04	vlpfc	03	subject00002	240	0.3125936923	0.323417418
smith09_denoised	partial	primary-visual	1	occipital-pole	2	primary-visual__occipital-pole	sub-189	04	vlpfc	03	subject00002	240	0.142408877	0.1433834614
smith09_denoised	partial	primary-visual	1	lateral-visual	3	primary-visual__lateral-visual	sub-189	04	vlpfc	03	subject00002	240	0.3392791596	0.353277693
smith09_denoised	partial	primary-visual	1	dmn	4	primary-visual__dmn	sub-189	04	vlpfc	03	subject00002	240	0.009450669205	0.009450950583
smith09_denoised	partial	primary-visual	1	sensorimotor	6	primary-visual__sensorimotor	sub-189	04	vlpfc	03	subject00002	240	0.3250643144	0.3372994353
smith09_denoised	partial	primary-visual	1	auditory	7	primary-visual__auditory	sub-189	04	vlpfc	03	subject00002	240	-0.05270536279	-0.05275424691
smith09_denoised	partial	primary-visual	1	ecn	8	primary-visual__ecn	sub-189	04	vlpfc	03	subject00002	240	0.006138820769	0.006138897885
smith09_denoised	partial	primary-visual	1	right-fpn	9	primary-visual__right-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.1627754281	-0.1642363483
smith09_denoised	partial	primary-visual	1	left-fpn	10	primary-visual__left-fpn	sub-189	04	vlpfc	03	subject00002	240	-0.0715897549	-0.07171243375
smith09_denoised	partial	occipital-pole	2	lateral-visual	3	occipital-pole__lateral-visual	sub-189	04	vlpfc	03	subject00002	240	-0.05176323412	-0.05180954062
smith09_denoised	partial	occipital-pole	2	dmn	4	occipital-pole__dmn	sub-189	04	vlpfc	03	subject00002	240	-0.2438898186	-0.2489057955
