analysis	correlation_type	network_a	component_a	network_b	component_b	network_pair	participant	run	condition	condition_order	dual_regression_label	n_timepoints	r	fisher_z
smith09_denoised	full	primary-visual	1	occipital-pole	2	primary-visual__occipital-pole	sub-189	02	sham	01	subject00000	240	-0.23611775	-0.2406586231
smith09_denoised	full	primary-visual	1	lateral-visual	3	primary-visual__lateral-visual	sub-189	02	sham	01	subject00000	240	0.4644023571	0.502909639
smith09_denoised	full	primary-visual	1	dmn	4	primary-visual__dmn	sub-189	02	sham	01	subject00000	240	-0.1280639929	-0.1287710634
smith09_denoised	full	primary-visual	1	sensorimotor	6	primary-visual__sensorimotor	sub-189	02	sham	01	subject00000	240	0.304773772	0.3147738247
smith09_denoised	full	primary-visual	1	auditory	7	primary-visual__auditory	sub-189	02	sham	01	subject00000	240	0.216025405	0.2194831695
smith09_denoised	full	primary-visual	1	ecn	8	primary-visual__ecn	sub-189	02	sham	01	subject00000	240	-0.3352906522	-0.348777195
smith09_denoised	full	primary-visual	1	right-fpn	9	primary-visual__right-fpn	sub-189	02	sham	01	subject00000	240	-0.1687848841	-0.1704156511
smith09_denoised	full	primary-visual	1	left-fpn	10	primary-visual__left-fpn	sub-189	02	sham	01	subject00000	240	-0.2463050504	-0.2514753915
smith09_denoised	full	occipital-pole	2	lateral-visual	3	occipital-pole__lateral-visual	sub-189	02	sham	01	subject00000	240	-0.1529579039	-0.154167808
smith09_denoised	full	occipital-pole	2	dmn	4	occipital-pole__dmn	sub-189	02	sham	01	subject00000	240	0.03903980189	0.03905965365
smith09_denoised	full	occipital-pole	2	sensorimotor	6	occipital-pole__sensorimotor	sub-189	02	sham	01	subject00000	240	-0.1845356407	-0.1866741977
smith09_denoised	full	occipital-pole	2	auditory	7	occipital-pole__auditory	sub-189	02	sham	01	subject00000	240	-0.1976994603	-0.2003373019
smith09_denoised	full	occipital-pole	2	ecn	8	occipital-pole__ecn	sub-189	02	sham	01	subject00000	240	0.2717062387	0.2787051438
smith09_denoised	full	occipital-pole	2	right-fpn	9	occipital-pole__right-fpn	sub-189	02	sham	01	subject00000	240	-0.1017017332	-0.1020545674
smith09_denoised	full	occipital-pole	2	left-fpn	10	occipital-pole__left-fpn	sub-189	02	sham	01	subject00000	240	-0.1283565138	-0.1290684732
smith09_denoised	full	lateral-visual	3	dmn	4	lateral-visual__dmn	sub-189	02	sham	01	subject00000	240	-0.478494132	-0.5210294219
smith09_denoised	full	lateral-visual	3	sensorimotor	6	lateral-visual__sensorimotor	sub-189	02	sham	01	subject00000	240	0.1333158916	0.134114236
smith09_denoised	full	lateral-visual	3	auditory	7	lateral-visual__auditory	sub-189	02	sham	01	subject00000	240	0.4124810857	0.4385973161
smith09_denoised	full	lateral-visual	3	ecn	8	lateral-visual__ecn	sub-189	02	sham	01	subject00000	240	-0.5234066306	-0.581020329
smith09_denoised	full	lateral-visual	3	right-fpn	9	lateral-visual__right-fpn	sub-189	02	sham	01	subject00000	240	0.02044297569	0.02044582421
smith09_denoised	full	lateral-visual	3	left-fpn	10	lateral-visual__left-fpn	sub-189	02	sham	01	subject00000	240	-0.0672163668	-0.06731787085
smith09_denoised	full	dmn	4	sensorimotor	6	dmn__sensorimotor	sub-189	02	sham	01	subject00000	240	-0.1131946211	-0.1136818272
smith09_denoised	full	dmn	4	auditory	7	dmn__auditory	sub-189	02	sham	01	subject00000	240	-0.5088076401	-0.5611195765
smith09_denoised	full	dmn	4	ecn	8	dmn__ecn	sub-189	02	sham	01	subject00000	240	0.2917332192	0.3004596723
smith09_denoised	full	dmn	4	right-fpn	9	dmn__right-fpn	sub-189	02	sham	01	subject00000	240	-0.1737247021	-0.1755047344
smith09_denoised	full	dmn	4	left-fpn	10	dmn__left-fpn	sub-189	02	sham	01	subject00000	240	-0.1180247635	-0.1185774121
smith09_denoised	full	sensorimotor	6	auditory	7	sensorimotor__auditory	sub-189	02	sham	01	subject00000	240	0.1752143433	0.1770411437
smith09_denoised	full	sensorimotor	6	ecn	8	sensorimotor__ecn	sub-189	02	sham	01	subject00000	240	-0.232941382	-0.2372973688
smith09_denoised	full	sensorimotor	6	right-fpn	9	sensorimotor__right-fpn	sub-189	02	sham	01	subject00000	240	-0.2486653265	-0.2539896657
smith09_denoised	full	sensorimotor	6	left-fpn	10	sensorimotor__left-fpn	sub-189	02	sham	01	subject00000	240	-0.05250761853	-0.05255595389
smith09_denoised	full	auditory	7	ecn	8	auditory__ecn	sub-189	02	sham	01	subject00000	240	-0.3112502949	-0.3219292261
smith09_denoised	full	auditory	7	right-fpn	9	auditory__right-fpn	sub-189	02	sham	01	subject00000	240	0.03726173324	0.03727899281
smith09_denoised	full	auditory	7	left-fpn	10	auditory__left-fpn	sub-189	02	sham	01	subject00000	240	0.02389324078	0.02389778912
smith09_denoised	full	ecn	8	right-fpn	9	ecn__right-fpn	sub-189	02	sham	01	subject00000	240	0.05927935033	0.05934893379
smith09_denoised	full	ecn	8	left-fpn	10	ecn__left-fpn	sub-189	02	sham	01	subject00000	240	-0.1878336803	-0.190090672
smith09_denoised	full	right-fpn	9	left-fpn	10	right-fpn__left-fpn	sub-189	02	sham	01	subject00000	240	0.177009419	0.1788936769
smith09_denoised	partial	primary-visual	1	occipital-pole	2	primary-visual__occipital-pole	sub-189	02	sham	01	subject00000	240	-0.1780880775	-0.1800074455
smith09_denoised	partial	primary-visual	1	lateral-visual	3	primary-visual__lateral-visual	sub-189	02	sham	01	subject00000	240	0.327083034	0.339558331
smith09_denoised	partial	primary-visual	1	dmn	4	primary-visual__dmn	sub-189	02	sham	01	subject00000	240	0.07076779862	0.07088629185
smith09_denoised	partial	primary-visual	1	sensorimotor	6	primary-visual__sensorimotor	sub-189	02	sham	01	subject00000	240	0.1917142479	0.1941162222
smith09_denoised	partial	primary-visual	1	auditory	7	primary-visual__auditory	sub-189	02	sham	01	subject00000	240	0.01068954883	0.01068995601
smith09_denoised	partial	primary-visual	1	ecn	8	primary-visual__ecn	sub-189	02	sham	01	subject00000	240	-0.1094616987	-0.1099020538
