model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	randomise_index	participant	subject_contrast_beta	delta_fd_mean	delta_fd_mean_demeaned	delta_blink_rate_per_min	delta_blink_rate_per_min_demeaned
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	0	sub-189	0.751726	-0.001476	-0.0301205037	13.48228161	14.85524504
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	1	sub-203	0.461905	0.021752	-0.006892503704	-6.73997204	-5.367008613
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	2	sub-207	0.821906	0.10384	0.0751954963	158.8946039	160.2675673
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	3	sub-208	0.07913	0.001189	-0.0274555037	-12.83966785	-11.46670442
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	4	sub-209	0.375895	-0.085208	-0.1138525037	-7.70363706	-6.330673633
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	5	sub-210	1.146891	0.080387	0.0517424963	-42.53349745	-41.16053402
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	6	sub-211	0.166064	-0.05052	-0.0791645037	-3.049781128	-1.676817701
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	7	sub-213	0.579945	-0.038645	-0.0672895037	12.83435574	14.20731917
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	8	sub-214	0.409045	-0.018489	-0.0471335037	7.86316835	9.236131777
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	9	sub-215	0.36184	0.043047	0.0144024963	8.506017186	9.878980613
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	10	sub-217	0.872101	0.15365	0.1250054963	-11.55454128	-10.18157785
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	11	sub-218	1.486212	0.263368	0.2347234963	2.24386838	3.616831807
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	12	sub-219	0.92959	0.008178	-0.0204665037	2.56663256	3.939595987
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	13	sub-220	0.675054	0.0150143	-0.0136302037	-68.37365621	-67.00069278
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	14	sub-221	0.435053	0.070086	0.0414414963	24.87365247	26.2466159
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	15	sub-222	4.628257	0.677894	0.6492494963	-48.14754365	-46.77458022
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	16	sub-225	-0.546554	-0.103678	-0.1323225037	-28.40495632	-27.03199289
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	17	sub-226	0.447264	-0.291297	-0.3199415037	5.777834896	7.150798323
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	18	sub-227	0.814698	-0.03799	-0.0666345037	4.3347327	5.707696127
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	19	sub-228	0.434636	0.020696	-0.007948503704	-2.88917992	-1.516216493
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	20	sub-230	1.599311	-0.035326	-0.0639705037	-8.82638271	-7.453419283
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	21	sub-231	0.00374	-0.04976	-0.0784045037	-4.65455694	-3.281593513
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	22	sub-234	0.515589	0.000224	-0.0284205037	-33.54702223	-32.1740588
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	23	sub-235	1.264479	0.030865	0.002220496296	-51.50715857	-50.13419514
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	24	sub-236	0.549849	0.0330963	0.004451796296	12.67873895	14.05170238
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	25	sub-237	0.64907	0.017646	-0.0109985037	-1.76719093	-0.3942275027
cov-fdmean-blink	smith09_denoised	sensorimotor	0006	beta	both-minus-rtpj	C1	mean_pos	positive	intercept	26	sub-238	0.692566	-0.055142	-0.0837865037	41.41284501	42.78580844
