model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	randomise_index	participant	subject_contrast_beta	delta_fd_mean	delta_fd_mean_demeaned	delta_blink_rate_per_min	delta_blink_rate_per_min_demeaned
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	0	sub-189	-0.343977	-0.001476	-0.0301205037	13.48228161	14.85524504
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	1	sub-203	-0.246752	0.021752	-0.006892503704	-6.73997204	-5.367008613
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	2	sub-207	-1.632772	0.10384	0.0751954963	158.8946039	160.2675673
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	3	sub-208	-0.737372	0.001189	-0.0274555037	-12.83966785	-11.46670442
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	4	sub-209	-1.104776	-0.085208	-0.1138525037	-7.70363706	-6.330673633
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	5	sub-210	-0.344423	0.080387	0.0517424963	-42.53349745	-41.16053402
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	6	sub-211	-0.22356	-0.05052	-0.0791645037	-3.049781128	-1.676817701
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	7	sub-213	-0.281138	-0.038645	-0.0672895037	12.83435574	14.20731917
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	8	sub-214	-0.553519	-0.018489	-0.0471335037	7.86316835	9.236131777
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	9	sub-215	-0.069266	0.043047	0.0144024963	8.506017186	9.878980613
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	10	sub-217	-1.391655	0.15365	0.1250054963	-11.55454128	-10.18157785
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	11	sub-218	-0.68453	0.263368	0.2347234963	2.24386838	3.616831807
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	12	sub-219	-0.214642	0.008178	-0.0204665037	2.56663256	3.939595987
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	13	sub-220	-0.517753	0.0150143	-0.0136302037	-68.37365621	-67.00069278
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	14	sub-221	0.315477	0.070086	0.0414414963	24.87365247	26.2466159
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	15	sub-222	-2.036529	0.677894	0.6492494963	-48.14754365	-46.77458022
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	16	sub-225	0.053951	-0.103678	-0.1323225037	-28.40495632	-27.03199289
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	17	sub-226	-0.242375	-0.291297	-0.3199415037	5.777834896	7.150798323
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	18	sub-227	-0.765726	-0.03799	-0.0666345037	4.3347327	5.707696127
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	19	sub-228	-0.300828	0.020696	-0.007948503704	-2.88917992	-1.516216493
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	20	sub-230	-0.688216	-0.035326	-0.0639705037	-8.82638271	-7.453419283
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	21	sub-231	-0.85646	-0.04976	-0.0784045037	-4.65455694	-3.281593513
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	22	sub-234	-0.833775	0.000224	-0.0284205037	-33.54702223	-32.1740588
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	23	sub-235	-1.256766	0.030865	0.002220496296	-51.50715857	-50.13419514
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	24	sub-236	-0.318626	0.0330963	0.004451796296	12.67873895	14.05170238
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	25	sub-237	-0.761425	0.017646	-0.0109985037	-1.76719093	-0.3942275027
cov-fdmean-blink	smith09_denoised	ecn	0008	beta	both-minus-rtpj	C2	mean_neg	negative	intercept	26	sub-238	-0.963422	-0.055142	-0.0837865037	41.41284501	42.78580844
