model_label	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	randomise_index	participant	subject_contrast_beta	delta_fd_mean	delta_fd_mean_demeaned	delta_blink_rate_per_min	delta_blink_rate_per_min_demeaned
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	0	sub-189	-2.04155	-0.020982	0.003341355556	-28.56633836	-40.13677362
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	1	sub-203	-1.990513	0.030265	0.05458835556	-8.50848874	-20.078924
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	2	sub-207	-1.416826	-0.144136	-0.1198126444	51.7608687	40.19043344
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	3	sub-208	-0.008002	-0.036233	-0.01190964444	-13.4805165	-25.05095176
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	4	sub-209	-1.027906	-0.299864	-0.2755406444	7.38300419	-4.187431072
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	5	sub-210	-1.18883	0.030088	0.05441135556	21.66982365	10.09938839
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	6	sub-211	-2.398543	0.010155	0.03447835556	-20.5413843	-32.11181956
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	7	sub-213	0.17745	0.007551	0.03187435556	85.38363563	73.81320037
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	8	sub-214	-4.075946	0.078166	0.1024893556	12.51776138	0.9473261179
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	9	sub-215	-3.595475	-0.056997	-0.03267364444	-11.23419203	-22.80462729
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	10	sub-217	-2.481838	-0.214205	-0.1898816444	-4.49430199	-16.06473725
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	11	sub-218	0.14833	-0.075032	-0.05070864444	-4.81600358	-16.38643884
cov-fdmean-blink	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	12	sub-219	-1.446523	-0.015215	0.009108355556	-4.01246362	-15.58289888
