model_label	covariates	analysis	network	component	map_type	condition_contrast	design_contrast	contrast_name	direction	tested_covariate	contrast_vector	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	completion_marker_exists	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	group_input	design_mat	design_con	corrp_file	copied_image	copied_sidecar	roi_values_tsv
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C1	mean_pos	positive	intercept	1 0 0	cluster-extent	true	true	27	27	true	true	true	true	0.859	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/group_task-rest_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-sensorimotor/task-rest_network-sensorimotor_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink_clustere_corrp_tstat1.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C2	mean_neg	negative	intercept	-1 0 0	cluster-extent	true	true	27	27	true	true	true	true	0.414	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/group_task-rest_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-sensorimotor/task-rest_network-sensorimotor_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink_clustere_corrp_tstat2.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C3	cov_pos	positive	delta_blink_rate_per_min	0 0 1	cluster-extent	true	true	27	27	true	true	true	true	0.4254	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/group_task-rest_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-sensorimotor/task-rest_network-sensorimotor_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink_clustere_corrp_tstat3.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	sensorimotor	0022	beta	vlpfc-minus-sham	C4	cov_neg	negative	delta_blink_rate_per_min	0 0 -1	cluster-extent	true	true	27	27	true	true	true	true	0.4092	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/group_task-rest_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/vlpfc-minus-sham/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0022_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-sensorimotor/task-rest_network-sensorimotor_component-0022_stat-beta_contrast-vlpfc-minus-sham_model-cov-fdmean-blink_clustere_corrp_tstat4.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C1	mean_pos	positive	intercept	1 0 0	cluster-extent	true	true	27	27	true	true	true	true	0.3238	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/group_task-rest_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink_clustere_corrp_tstat1.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C2	mean_neg	negative	intercept	-1 0 0	cluster-extent	true	true	27	27	true	true	true	true	0.9912	true	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/group_task-rest_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink_clustere_corrp_tstat2.nii.gz	derivatives/fsl/covariate_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-DenoisedDim00TaskRestCovFdmeanBlinkDmnComp0023RtpjMinusVlpfcMeanNegClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/covariate_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-DenoisedDim00TaskRestCovFdmeanBlinkDmnComp0023RtpjMinusVlpfcMeanNegClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/covariate_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-DenoisedDim00TaskRestCovFdmeanBlinkDmnComp0023RtpjMinusVlpfcMeanNegClusterExtentCorrp_stat-subjectContrast_values.tsv
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C3	cov_pos	positive	delta_blink_rate_per_min	0 0 1	cluster-extent	true	true	27	27	true	true	true	true	0.0972	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/group_task-rest_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink_clustere_corrp_tstat3.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	dmn	0023	beta	rtpj-minus-vlpfc	C4	cov_neg	negative	delta_blink_rate_per_min	0 0 -1	cluster-extent	true	true	27	27	true	true	true	true	0.5742	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/group_task-rest_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-vlpfc/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0023_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-dmn/task-rest_network-dmn_component-0023_stat-beta_contrast-rtpj-minus-vlpfc_model-cov-fdmean-blink_clustere_corrp_tstat4.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	auditory	0055	beta	rtpj-minus-sham	C1	mean_pos	positive	intercept	1 0 0	cluster-extent	true	true	27	27	true	true	true	true	0.9366	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-sham/group_task-rest_component-0055_stat-beta_contrast-rtpj-minus-sham_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-sham/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-sham/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-auditory/task-rest_network-auditory_component-0055_stat-beta_contrast-rtpj-minus-sham_model-cov-fdmean-blink_clustere_corrp_tstat1.nii.gz			
cov-fdmean-blink	delta_fd_mean,delta_blink_rate_per_min	denoised_dim-00_task-rest	auditory	0055	beta	rtpj-minus-sham	C2	mean_neg	negative	intercept	-1 0 0	cluster-extent	true	true	27	27	true	true	true	true	0.13	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-sham/group_task-rest_component-0055_stat-beta_contrast-rtpj-minus-sham_model-cov-fdmean-blink.nii.gz	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-sham/design.mat	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/rtpj-minus-sham/design.con	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0055_stat-beta/covariate-models/model-cov-fdmean-blink/randomise/network-auditory/task-rest_network-auditory_component-0055_stat-beta_contrast-rtpj-minus-sham_model-cov-fdmean-blink_clustere_corrp_tstat2.nii.gz			
