participant	intercept	delta_fd_mean_demeaned	delta_blink_rate_per_min_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	-0.03241079792	-5.464000243	346.6538115
sub-203	1	0.01644070208	-15.65732908	18.31601034
sub-207	1	0.01132820208	180.1119256	-430.3616625
sub-209	1	-0.2555837979	-8.675247638	249.8447115
sub-210	1	0.07498720208	-36.36169829	-38.00974241
sub-211	1	-0.06588629792	-17.98358595	-396.6151625
sub-214	1	0.0001502020833	9.458936367	-714.7550455
sub-215	1	-0.005895297917	-1.7741915	148.938607
sub-217	1	0.02610370208	-18.46480494	-114.8743978
sub-218	1	0.2054082021	-4.827246083	74.53210249
sub-219	1	-0.01987329792	-4.102711923	81.04386929
sub-221	1	-0.01225279792	14.91537827	-66.21544101
sub-222	1	0.6425662021	-36.19938652	-87.71314401
sub-225	1	-0.1170287979	-29.61830416	-188.2836935
sub-226	1	-0.1496012979	0.3926602008	175.854942
sub-227	1	-0.1269027979	-4.982720548	176.734435
sub-228	1	0.002634702083	-5.786900098	323.2224131
sub-230	1	0.009854702083	17.24530348	-195.1312215
sub-231	1	-0.04715729792	-8.514788228	-9.57471531
sub-234	1	-0.01533979792	-17.26419924	-169.217987
sub-235	1	-0.01263329792	-35.87424428	108.206113
sub-236	1	0.008599852083	10.42345431	199.800085
sub-237	1	0.01331320208	-8.917782803	199.1600745
sub-238	1	-0.1508212979	27.92148331	308.4450385
