participant	intercept	delta_fd_mean_demeaned	delta_blink_rate_per_min_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	0.004882692	-34.47557757	-119.4257878
sub-203	1	0.056129692	-14.41772795	-13.63523551
sub-207	1	-0.118271308	45.85162949	240.3240542
sub-208	1	-0.010368308	-19.38975571	-104.8626492
sub-209	1	-0.273999308	1.473764985	-142.2573798
sub-210	1	0.055952692	15.76058444	77.85909149
sub-211	1	0.036019692	-26.45062351	-420.2497398
sub-214	1	0.104030692	6.608522175	-583.4311758
sub-215	1	-0.031132308	-17.14343124	183.0196332
sub-217	1	-0.188340308	-10.4035412	374.2515707
sub-218	1	-0.049167308	-10.72524279	37.28238019
sub-219	1	0.010649692	-9.921702825	101.9177052
sub-221	1	-0.097925308	-16.49956226	24.54658519
sub-222	1	-0.003903308	27.31330039	305.9390532
sub-225	1	0.040050692	0.990290445	-112.4039098
sub-226	1	0.350143692	-7.353363249	182.0219152
sub-227	1	-0.111073308	-15.21792036	316.4882072
sub-228	1	0.030629692	-2.378454215	178.1439939
sub-230	1	0.157113692	55.56035851	-573.1186758
sub-231	1	0.071957692	-4.303476435	400.8490056
sub-234	1	0.035624692	35.98263212	-78.35074481
sub-235	1	-0.020244308	34.6828147	-130.5792388
sub-236	1	0.017759392	-1.093583145	-152.8443968
sub-237	1	0.058086692	-10.88419761	-89.05200781
sub-238	1	-0.124606308	-23.56573727	97.56774659
