participant	intercept	delta_fd_mean_demeaned	delta_blink_rate_per_min_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	-0.03018545833	-23.10574227	284.7562791
sub-203	1	0.04428954167	-23.2701463	9.313754058
sub-207	1	-0.04802345833	202.6337871	-312.3842739
sub-209	1	-0.3927994583	-8.342318387	176.5313831
sub-210	1	0.1027475417	-28.88535932	-1.264835142
sub-211	1	-0.04809245833	-31.61285095	-608.9246709
sub-214	1	0.05194954167	12.35924421	-1008.655272
sub-215	1	-0.02167745833	-10.74986036	238.2637851
sub-217	1	-0.06828245833	-24.07052879	70.06674896
sub-218	1	0.1806085417	-10.59382072	90.98865406
sub-219	1	-0.01476445833	-9.467516577	129.8180834
sub-221	1	-0.06143145833	6.261643903	-56.12678694
sub-222	1	0.6403985417	-22.94668957	63.07174406
sub-225	1	-0.09721945833	-29.52711219	-246.6702869
sub-226	1	0.02525454167	-3.687974665	264.6812611
sub-227	1	-0.1826554583	-12.99563397	332.7939001
sub-228	1	0.01773354167	-7.380080447	410.1097716
sub-230	1	0.08819554167	44.62152949	-483.8751979
sub-231	1	-0.01139445833	-11.07047969	188.665149
sub-234	1	0.002256541667	0.3231635828	-210.5779979
sub-235	1	-0.02297145833	-18.93679018	40.73185506
sub-236	1	0.01726354167	9.472709493	121.1932481
sub-237	1	0.04214054167	-14.76383485	152.4494321
sub-238	1	-0.2133404583	15.73466143	355.0442733
