participant	intercept	delta_fd_mean_demeaned	delta_blink_rate_per_min_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	0.02556707407	-43.41417381	-157.0273876
sub-203	1	0.06145307407	-12.43592409	33.950133
sub-207	1	-0.01759992593	154.5388392	1117.253645
sub-208	1	-0.03445092593	-31.53561718	-346.3090641
sub-209	1	0.06196207407	11.15277607	103.7533104
sub-210	1	0.07563007407	-16.61218035	121.6606059
sub-211	1	0.02086307407	-74.06788321	-343.9665676
sub-213	1	0.03064207407	-22.54083618	46.3515954
sub-214	1	0.1253130741	1.365393269	-501.1675206
sub-215	1	0.04080407407	-15.48717195	-23.1455006
sub-217	1	-0.01236892593	-17.57404465	127.9977088
sub-218	1	0.3355060741	2.810477459	152.1255354
sub-219	1	0.01709507407	-16.61005925	148.5254786
sub-220	1	-0.007252225926	54.49066644	-646.0479296
sub-221	1	-0.02788492593	-40.04222627	137.6361584
sub-222	1	-0.7487629259	57.05579834	490.8993444
sub-225	1	0.03692307407	1.363642699	-225.6981656
sub-226	1	-0.1663169259	-13.56134662	-118.6431466
sub-227	1	-0.01393292593	-15.48779648	-94.2535486
sub-228	1	0.07093407407	-23.19027518	279.1706963
sub-230	1	0.2900450741	46.78365347	-174.9112906
sub-231	1	0.04352607407	-11.15424658	363.7984002
sub-234	1	0.03984707407	49.9955521	-343.2740356
sub-235	1	0.05264407407	34.42257431	218.9310194
sub-236	1	0.04868037407	-22.3886351	-110.8383046
sub-237	1	-0.01277792593	-11.95838177	-56.3722286
sub-238	1	-0.3360879259	-25.91857467	-200.3989414
