participant,intercept,delta_fd_mean_demeaned,delta_blink_rate_per_min_demeaned,delta_mean_pupil_area_demeaned
sub-189,1,0.021619976,-7.660603036,-61.58945316
sub-203,1,0.006258976,3.259797064,23.59751514
sub-207,1,0.101606976,109.9652029,852.9417378
sub-208,1,-0.023147024,-10.86786827,-265.4342683
sub-209,1,0.336896976,10.95700429,222.0228368
sub-210,1,0.020612976,-31.09477159,19.81366104
sub-211,1,-0.014221024,-46.3392665,52.29531884
sub-214,1,0.022217976,-3.965135696,58.27580184
sub-215,1,0.072871976,2.934252489,-230.1529872
sub-217,1,0.176906976,-5.892510246,-270.2417153
sub-218,1,0.385608976,14.81371345,90.85530184
sub-219,1,0.007380976,-5.410363216,22.61992004
sub-221,1,0.070975976,-22.26467081,89.10171984
sub-222,1,-0.743924024,31.02049115,160.9724378
sub-225,1,-0.002192024,1.651345464,-137.2821092
sub-226,1,-0.515525024,-4.929990163,-324.6529152
sub-227,1,0.098075976,1.008117084,-434.7296092
sub-228,1,0.041239976,-19.53382776,77.03884904
sub-230,1,0.133866976,-7.498711836,374.2195318
sub-231,1,-0.027496024,-5.572776936,-61.03845876
sub-234,1,0.005157976,15.29091318,-288.9111442
sub-235,1,0.073823976,1.017752814,325.5224048
sub-236,1,0.031856576,-20.01705875,18.01823884
sub-237,1,-0.069929024,0.2038090441,8.691925844
sub-238,1,-0.210546024,-1.074844196,-321.9545414
