participant	intercept	delta_fd_mean_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	-0.006934446154	222.9286991
sub-203	1	0.05217955385	32.6731424
sub-207	1	0.05521455385	540.3193371
sub-209	1	-0.05427144615	398.3160931
sub-210	1	0.1249915538	18.3106991
sub-211	1	-0.06068244615	-556.8674789
sub-213	1	-0.03902844615	111.7409659
sub-214	1	0.07579855385	-950.6175969
sub-215	1	0.05282555385	7.8726711
sub-217	1	0.1102555538	-200.4130931
sub-218	1	0.5678485538	181.6058291
sub-219	1	-0.005752446154	152.1998766
sub-220	1	-0.02326344615	-371.4601909
sub-221	1	0.01117555385	32.7368061
sub-222	1	-0.1018944462	223.8060551
sub-225	1	-0.09778044615	-384.1905229
sub-226	1	-0.4886394462	-60.2097809
sub-227	1	-0.08294844615	-102.1738359
sub-228	1	0.06060455385	486.9104938
sub-230	1	0.2236935538	-109.8937929
sub-231	1	-0.03725944615	127.3885634
sub-234	1	0.009045553846	-499.7272689
sub-235	1	0.05248355385	366.0161331
sub-236	1	0.05075115385	138.9733601
sub-237	1	-0.02615744615	160.9032311
sub-238	1	-0.4222554462	32.8516051
