model_label	contrast	n_participants	covariates	template_tsv	template_mat	excluded_participants_tsv
cov-fdmean-pupil	both-minus-sham	26	delta_fd_mean,delta_mean_pupil_area	task-rest_model-cov-fdmean-pupil_contrast-both-minus-sham_N-26_design-template.tsv	task-rest_model-cov-fdmean-pupil_contrast-both-minus-sham_N-26_design-template.mat	task-rest_model-cov-fdmean-pupil_contrast-both-minus-sham_N-26_design-template_excluded-participants.tsv
cov-fdmean-pupil	both-minus-rtpj	26	delta_fd_mean,delta_mean_pupil_area	task-rest_model-cov-fdmean-pupil_contrast-both-minus-rtpj_N-26_design-template.tsv	task-rest_model-cov-fdmean-pupil_contrast-both-minus-rtpj_N-26_design-template.mat	task-rest_model-cov-fdmean-pupil_contrast-both-minus-rtpj_N-26_design-template_excluded-participants.tsv
cov-fdmean-pupil	both-minus-vlpfc	24	delta_fd_mean,delta_mean_pupil_area	task-rest_model-cov-fdmean-pupil_contrast-both-minus-vlpfc_N-24_design-template.tsv	task-rest_model-cov-fdmean-pupil_contrast-both-minus-vlpfc_N-24_design-template.mat	task-rest_model-cov-fdmean-pupil_contrast-both-minus-vlpfc_N-24_design-template_excluded-participants.tsv
cov-fdmean-pupil	rtpj-minus-vlpfc	25	delta_fd_mean,delta_mean_pupil_area	task-rest_model-cov-fdmean-pupil_contrast-rtpj-minus-vlpfc_N-25_design-template.tsv	task-rest_model-cov-fdmean-pupil_contrast-rtpj-minus-vlpfc_N-25_design-template.mat	task-rest_model-cov-fdmean-pupil_contrast-rtpj-minus-vlpfc_N-25_design-template_excluded-participants.tsv
cov-fdmean-pupil	rtpj-minus-sham	27	delta_fd_mean,delta_mean_pupil_area	task-rest_model-cov-fdmean-pupil_contrast-rtpj-minus-sham_N-27_design-template.tsv	task-rest_model-cov-fdmean-pupil_contrast-rtpj-minus-sham_N-27_design-template.mat	
cov-fdmean-pupil	vlpfc-minus-sham	25	delta_fd_mean,delta_mean_pupil_area	task-rest_model-cov-fdmean-pupil_contrast-vlpfc-minus-sham_N-25_design-template.tsv	task-rest_model-cov-fdmean-pupil_contrast-vlpfc-minus-sham_N-25_design-template.mat	task-rest_model-cov-fdmean-pupil_contrast-vlpfc-minus-sham_N-25_design-template_excluded-participants.tsv
cov-fdmean-pupil	both-minus-mean-rtpj-vlpfc	24	delta_fd_mean,delta_mean_pupil_area	task-rest_model-cov-fdmean-pupil_contrast-both-minus-mean-rtpj-vlpfc_N-24_design-template.tsv	task-rest_model-cov-fdmean-pupil_contrast-both-minus-mean-rtpj-vlpfc_N-24_design-template.mat	task-rest_model-cov-fdmean-pupil_contrast-both-minus-mean-rtpj-vlpfc_N-24_design-template_excluded-participants.tsv
