participant	intercept	delta_fd_mean_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	0.02556707407	-157.0273876
sub-203	1	0.06145307407	33.950133
sub-207	1	-0.01759992593	1117.253645
sub-208	1	-0.03445092593	-346.3090641
sub-209	1	0.06196207407	103.7533104
sub-210	1	0.07563007407	121.6606059
sub-211	1	0.02086307407	-343.9665676
sub-213	1	0.03064207407	46.3515954
sub-214	1	0.1253130741	-501.1675206
sub-215	1	0.04080407407	-23.1455006
sub-217	1	-0.01236892593	127.9977088
sub-218	1	0.3355060741	152.1255354
sub-219	1	0.01709507407	148.5254786
sub-220	1	-0.007252225926	-646.0479296
sub-221	1	-0.02788492593	137.6361584
sub-222	1	-0.7487629259	490.8993444
sub-225	1	0.03692307407	-225.6981656
sub-226	1	-0.1663169259	-118.6431466
sub-227	1	-0.01393292593	-94.2535486
sub-228	1	0.07093407407	279.1706963
sub-230	1	0.2900450741	-174.9112906
sub-231	1	0.04352607407	363.7984002
sub-234	1	0.03984707407	-343.2740356
sub-235	1	0.05264407407	218.9310194
sub-236	1	0.04868037407	-110.8383046
sub-237	1	-0.01277792593	-56.3722286
sub-238	1	-0.3360879259	-200.3989414
