participant	intercept	delta_fd_mean_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	-0.03241079792	346.6538115
sub-203	1	0.01644070208	18.31601034
sub-207	1	0.01132820208	-430.3616625
sub-209	1	-0.2555837979	249.8447115
sub-210	1	0.07498720208	-38.00974241
sub-211	1	-0.06588629792	-396.6151625
sub-214	1	0.0001502020833	-714.7550455
sub-215	1	-0.005895297917	148.938607
sub-217	1	0.02610370208	-114.8743978
sub-218	1	0.2054082021	74.53210249
sub-219	1	-0.01987329792	81.04386929
sub-221	1	-0.01225279792	-66.21544101
sub-222	1	0.6425662021	-87.71314401
sub-225	1	-0.1170287979	-188.2836935
sub-226	1	-0.1496012979	175.854942
sub-227	1	-0.1269027979	176.734435
sub-228	1	0.002634702083	323.2224131
sub-230	1	0.009854702083	-195.1312215
sub-231	1	-0.04715729792	-9.57471531
sub-234	1	-0.01533979792	-169.217987
sub-235	1	-0.01263329792	108.206113
sub-236	1	0.008599852083	199.800085
sub-237	1	0.01331320208	199.1600745
sub-238	1	-0.1508212979	308.4450385
