participant	intercept	delta_fd_mean_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	-0.03018545833	284.7562791
sub-203	1	0.04428954167	9.313754058
sub-207	1	-0.04802345833	-312.3842739
sub-209	1	-0.3927994583	176.5313831
sub-210	1	0.1027475417	-1.264835142
sub-211	1	-0.04809245833	-608.9246709
sub-214	1	0.05194954167	-1008.655272
sub-215	1	-0.02167745833	238.2637851
sub-217	1	-0.06828245833	70.06674896
sub-218	1	0.1806085417	90.98865406
sub-219	1	-0.01476445833	129.8180834
sub-221	1	-0.06143145833	-56.12678694
sub-222	1	0.6403985417	63.07174406
sub-225	1	-0.09721945833	-246.6702869
sub-226	1	0.02525454167	264.6812611
sub-227	1	-0.1826554583	332.7939001
sub-228	1	0.01773354167	410.1097716
sub-230	1	0.08819554167	-483.8751979
sub-231	1	-0.01139445833	188.665149
sub-234	1	0.002256541667	-210.5779979
sub-235	1	-0.02297145833	40.73185506
sub-236	1	0.01726354167	121.1932481
sub-237	1	0.04214054167	152.4494321
sub-238	1	-0.2133404583	355.0442733
