participant	intercept	delta_fd_mean_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	-0.03117648462	393.2756661
sub-203	1	-0.007948484615	12.04258878
sub-207	1	0.07413951538	-563.6147289
sub-209	1	-0.1149084846	307.8823621
sub-210	1	0.05068651538	-90.03032742
sub-211	1	-0.08022048462	-199.5813319
sub-213	1	-0.06834548462	78.70894988
sub-214	1	-0.04818948462	-436.1304969
sub-215	1	0.01334651538	44.33775108
sub-217	1	0.1239495154	-315.0912225
sub-218	1	0.2336675154	42.79987308
sub-219	1	-0.02152248462	16.99397738
sub-220	1	-0.01468618462	287.9073181
sub-221	1	0.04038551538	-91.57977292
sub-222	1	0.6481935154	-253.7737099
sub-225	1	-0.1333784846	-145.1727779
sub-226	1	-0.3209974846	71.75294508
sub-227	1	-0.06769048462	5.399292085
sub-228	1	-0.009004484615	221.0593769
sub-230	1	-0.06502648462	78.33707708
sub-231	1	-0.07946048462	-223.0902574
sub-234	1	-0.02947648462	-143.1336539
sub-235	1	0.001164515385	160.4046931
sub-236	1	0.003395815385	263.1312441
sub-237	1	-0.01205448462	230.5950391
sub-238	1	-0.08484248462	246.5701259
