participant	intercept	delta_fd_mean_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	0.004882692	-119.4257878
sub-203	1	0.056129692	-13.63523551
sub-207	1	-0.118271308	240.3240542
sub-208	1	-0.010368308	-104.8626492
sub-209	1	-0.273999308	-142.2573798
sub-210	1	0.055952692	77.85909149
sub-211	1	0.036019692	-420.2497398
sub-214	1	0.104030692	-583.4311758
sub-215	1	-0.031132308	183.0196332
sub-217	1	-0.188340308	374.2515707
sub-218	1	-0.049167308	37.28238019
sub-219	1	0.010649692	101.9177052
sub-221	1	-0.097925308	24.54658519
sub-222	1	-0.003903308	305.9390532
sub-225	1	0.040050692	-112.4039098
sub-226	1	0.350143692	182.0219152
sub-227	1	-0.111073308	316.4882072
sub-228	1	0.030629692	178.1439939
sub-230	1	0.157113692	-573.1186758
sub-231	1	0.071957692	400.8490056
sub-234	1	0.035624692	-78.35074481
sub-235	1	-0.020244308	-130.5792388
sub-236	1	0.017759392	-152.8443968
sub-237	1	0.058086692	-89.05200781
sub-238	1	-0.124606308	97.56774659
