participant	intercept	delta_fd_mean_demeaned	delta_mean_pupil_area_demeaned
sub-189	1	0.021619976	-61.58945316
sub-203	1	0.006258976	23.59751514
sub-207	1	0.101606976	852.9417378
sub-208	1	-0.023147024	-265.4342683
sub-209	1	0.336896976	222.0228368
sub-210	1	0.020612976	19.81366104
sub-211	1	-0.014221024	52.29531884
sub-214	1	0.022217976	58.27580184
sub-215	1	0.072871976	-230.1529872
sub-217	1	0.176906976	-270.2417153
sub-218	1	0.385608976	90.85530184
sub-219	1	0.007380976	22.61992004
sub-221	1	0.070975976	89.10171984
sub-222	1	-0.743924024	160.9724378
sub-225	1	-0.002192024	-137.2821092
sub-226	1	-0.515525024	-324.6529152
sub-227	1	0.098075976	-434.7296092
sub-228	1	0.041239976	77.03884904
sub-230	1	0.133866976	374.2195318
sub-231	1	-0.027496024	-61.03845876
sub-234	1	0.005157976	-288.9111442
sub-235	1	0.073823976	325.5224048
sub-236	1	0.031856576	18.01823884
sub-237	1	-0.069929024	8.691925844
sub-238	1	-0.210546024	-321.9545414
