randomise_index,participant,EV1_intercept,EV2_delta_fd_mean_demeaned
0,sub-189,1,0.003341355556
1,sub-203,1,0.05458835556
2,sub-207,1,-0.1198126444
3,sub-208,1,-0.01190964444
4,sub-209,1,-0.2755406444
5,sub-210,1,0.05441135556
6,sub-211,1,0.03447835556
7,sub-213,1,0.03187435556
8,sub-214,1,0.1024893556
9,sub-215,1,-0.03267364444
10,sub-217,1,-0.1898816444
11,sub-218,1,-0.05070864444
12,sub-219,1,0.009108355556
13,sub-220,1,0.006659055556
14,sub-221,1,-0.09946664444
15,sub-222,1,-0.005444644444
16,sub-225,1,0.03850935556
17,sub-226,1,0.3486023556
18,sub-227,1,-0.1126146444
19,sub-228,1,0.02908835556
20,sub-230,1,0.1555723556
21,sub-231,1,0.07041635556
22,sub-234,1,0.03408335556
23,sub-235,1,-0.02178564444
24,sub-236,1,0.01621805556
25,sub-237,1,0.05654535556
26,sub-238,1,-0.1261476444
