randomise_index	participant	EV1_intercept	EV2_delta_fd_mean_demeaned
0	sub-189	1	0.02556707407
1	sub-203	1	0.06145307407
2	sub-207	1	-0.01759992593
3	sub-208	1	-0.03445092593
4	sub-209	1	0.06196207407
5	sub-210	1	0.07563007407
6	sub-211	1	0.02086307407
7	sub-213	1	0.03064207407
8	sub-214	1	0.1253130741
9	sub-215	1	0.04080407407
10	sub-217	1	-0.01236892593
11	sub-218	1	0.3355060741
12	sub-219	1	0.01709507407
13	sub-220	1	-0.007252225926
14	sub-221	1	-0.02788492593
15	sub-222	1	-0.7487629259
16	sub-225	1	0.03692307407
17	sub-226	1	-0.1663169259
18	sub-227	1	-0.01393292593
19	sub-228	1	0.07093407407
20	sub-230	1	0.2900450741
21	sub-231	1	0.04352607407
22	sub-234	1	0.03984707407
23	sub-235	1	0.05264407407
24	sub-236	1	0.04868037407
25	sub-237	1	-0.01277792593
26	sub-238	1	-0.3360879259
