randomise_index,participant,EV1_intercept,EV2_delta_fd_mean_demeaned
0,sub-189,1,-0.02677914815
1,sub-203,1,0.04769585185
2,sub-207,1,-0.04461714815
3,sub-208,1,-0.03936514815
4,sub-209,1,-0.3893931481
5,sub-210,1,0.1061538519
6,sub-211,1,-0.04468614815
7,sub-213,1,-0.03541514815
8,sub-214,1,0.05535585185
9,sub-215,1,-0.01827114815
10,sub-217,1,-0.06487614815
11,sub-218,1,0.1840148519
12,sub-219,1,-0.01135814815
13,sub-220,1,-0.006971148148
14,sub-221,1,-0.05802514815
15,sub-222,1,0.6438048519
16,sub-225,1,-0.09381314815
17,sub-226,1,0.02866085185
18,sub-227,1,-0.1792491481
19,sub-228,1,0.02113985185
20,sub-230,1,0.09160185185
21,sub-231,1,-0.007988148148
22,sub-234,1,0.005662851852
23,sub-235,1,-0.01956514815
24,sub-236,1,0.02066985185
25,sub-237,1,0.04554685185
26,sub-238,1,-0.2099341481
