randomise_index	participant	group
0	sub-189	1
1	sub-203	1
2	sub-207	1
3	sub-208	1
4	sub-209	1
5	sub-210	1
6	sub-211	1
7	sub-213	1
8	sub-214	1
9	sub-215	1
10	sub-217	1
11	sub-218	1
12	sub-219	1
13	sub-220	1
14	sub-221	1
15	sub-222	1
16	sub-225	1
17	sub-226	1
18	sub-227	1
19	sub-228	1
20	sub-230	1
21	sub-231	1
22	sub-234	1
23	sub-235	1
24	sub-236	1
25	sub-237	1
26	sub-238	1
