randomise_index	participant	EV1_intercept	EV2_delta_fd_mean_demeaned
0	sub-189	1	-0.00455342963
1	sub-203	1	0.05456057037
2	sub-207	1	0.05759557037
3	sub-208	1	-0.06190642963
4	sub-209	1	-0.05189042963
5	sub-210	1	0.1273725704
6	sub-211	1	-0.05830142963
7	sub-213	1	-0.03664742963
8	sub-214	1	0.07817957037
9	sub-215	1	0.05520657037
10	sub-217	1	0.1126365704
11	sub-218	1	0.5702295704
12	sub-219	1	-0.00337142963
13	sub-220	1	-0.02088242963
14	sub-221	1	0.01355657037
15	sub-222	1	-0.09951342963
16	sub-225	1	-0.09539942963
17	sub-226	1	-0.4862584296
18	sub-227	1	-0.08056742963
19	sub-228	1	0.06298557037
20	sub-230	1	0.2260745704
21	sub-231	1	-0.03487842963
22	sub-234	1	0.01142657037
23	sub-235	1	0.05486457037
24	sub-236	1	0.05313217037
25	sub-237	1	-0.02377642963
26	sub-238	1	-0.4198744296
