contrast	n_participants	design_matrix_tsv	design_matrix_csv	covariate_audit_tsv	ev_columns
both-minus-sham	27	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-sham_design-matrix.tsv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-sham_design-matrix.csv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-sham_covariate-audit.tsv	EV1_intercept,EV2_delta_fd_mean_demeaned
both-minus-rtpj	27	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-rtpj_design-matrix.tsv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-rtpj_design-matrix.csv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-rtpj_covariate-audit.tsv	EV1_intercept,EV2_delta_fd_mean_demeaned
both-minus-vlpfc	27	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-vlpfc_design-matrix.tsv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-vlpfc_design-matrix.csv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-vlpfc_covariate-audit.tsv	EV1_intercept,EV2_delta_fd_mean_demeaned
rtpj-minus-vlpfc	27	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-rtpj-minus-vlpfc_design-matrix.tsv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-rtpj-minus-vlpfc_design-matrix.csv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-rtpj-minus-vlpfc_covariate-audit.tsv	EV1_intercept,EV2_delta_fd_mean_demeaned
rtpj-minus-sham	27	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-rtpj-minus-sham_design-matrix.tsv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-rtpj-minus-sham_design-matrix.csv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-rtpj-minus-sham_covariate-audit.tsv	EV1_intercept,EV2_delta_fd_mean_demeaned
vlpfc-minus-sham	27	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-vlpfc-minus-sham_design-matrix.tsv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-vlpfc-minus-sham_design-matrix.csv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-vlpfc-minus-sham_covariate-audit.tsv	EV1_intercept,EV2_delta_fd_mean_demeaned
both-minus-mean-rtpj-vlpfc	27	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-mean-rtpj-vlpfc_design-matrix.tsv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-mean-rtpj-vlpfc_design-matrix.csv	/Users/tug87422/github/r21-rest/derivatives/qc/randomise_design_spreadsheets/task-rest_contrast-both-minus-mean-rtpj-vlpfc_covariate-audit.tsv	EV1_intercept,EV2_delta_fd_mean_demeaned
