randomise_index	participant	EV1_intercept	EV2_delta_fd_mean_demeaned
0	sub-189	1	0.02222571852
1	sub-203	1	0.006864718519
2	sub-207	1	0.1022127185
3	sub-208	1	-0.02254128148
4	sub-209	1	0.3375027185
5	sub-210	1	0.02121871852
6	sub-211	1	-0.01361528148
7	sub-213	1	-0.001232281481
8	sub-214	1	0.02282371852
9	sub-215	1	0.07347771852
10	sub-217	1	0.1775127185
11	sub-218	1	0.3862147185
12	sub-219	1	0.007986718519
13	sub-220	1	-0.01391128148
14	sub-221	1	0.07158171852
15	sub-222	1	-0.7433182815
16	sub-225	1	-0.001586281481
17	sub-226	1	-0.5149192815
18	sub-227	1	0.09868171852
19	sub-228	1	0.04184571852
20	sub-230	1	0.1344727185
21	sub-231	1	-0.02689028148
22	sub-234	1	0.005763718519
23	sub-235	1	0.07442971852
24	sub-236	1	0.03246231852
25	sub-237	1	-0.06932328148
26	sub-238	1	-0.2099402815
