randomise_index	participant	EV1_intercept	EV2_delta_fd_mean_demeaned
0	sub-189	1	-0.02844982593
1	sub-203	1	0.02040167407
2	sub-207	1	0.01528917407
3	sub-208	1	-0.03341032593
4	sub-209	1	-0.2516228259
5	sub-210	1	0.07894817407
6	sub-211	1	-0.06192532593
7	sub-213	1	-0.05135232593
8	sub-214	1	0.004111174074
9	sub-215	1	-0.001934325926
10	sub-217	1	0.03006467407
11	sub-218	1	0.2093691741
12	sub-219	1	-0.01591232593
13	sub-220	1	-0.01030067593
14	sub-221	1	-0.008291825926
15	sub-222	1	0.6465271741
16	sub-225	1	-0.1130678259
17	sub-226	1	-0.1456403259
18	sub-227	1	-0.1229418259
19	sub-228	1	0.006595674074
20	sub-230	1	0.01381567407
21	sub-231	1	-0.04319632593
22	sub-234	1	-0.01137882593
23	sub-235	1	-0.008672325926
24	sub-236	1	0.01256082407
25	sub-237	1	0.01727417407
26	sub-238	1	-0.1468603259
