sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-189	02	sham	subject00000	-0.061745
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-189	01	rtpj	subject00001	0.094844
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-189	04	vlpfc	subject00002	-0.002271
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-189	03	both	subject00003	-0.161403
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-203	03	sham	subject00004	-0.015477
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-203	04	rtpj	subject00005	-0.161764
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-203	01	vlpfc	subject00006	-0.485763
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-203	02	both	subject00007	0.015613
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-207	02	sham	subject00008	0.34691
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-207	01	rtpj	subject00009	-0.589865
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-207	04	vlpfc	subject00010	-0.407707
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-207	03	both	subject00011	-0.85964
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-208	04	sham	subject00012	0.51496
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-208	02	rtpj	subject00013	0.593864
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-208	03	vlpfc	subject00014	-0.099394
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-208	01	both	subject00015	-0.199178
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-209	01	sham	subject00016	1.014377
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-209	03	rtpj	subject00017	0.089793
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-209	02	vlpfc	subject00018	-1.030365
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-209	04	both	subject00019	0.317559
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-210	03	sham	subject00020	0.041956
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-210	04	rtpj	subject00021	0.268676
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-210	01	vlpfc	subject00022	0.500691
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-210	02	both	subject00023	-0.221955
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-211	04	sham	subject00024	-0.160055
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-211	02	rtpj	subject00025	0.179684
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-211	03	vlpfc	subject00026	-0.153238
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-211	01	both	subject00027	0.092685
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-213	01	sham	subject00028	0.208375
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-213	03	rtpj	subject00029	-0.56876
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-213	02	vlpfc	subject00030	0.646364
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-213	04	both	subject00031	-0.583329
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-214	04	sham	subject00032	0.653543
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-214	02	rtpj	subject00033	0.07883
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-214	03	vlpfc	subject00034	-0.347484
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-214	01	both	subject00035	-0.889537
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-215	02	sham	subject00036	0.076437
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-215	01	rtpj	subject00037	0.225541
none	smith09-reward_ppi-dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	negative	sub-215	04	vlpfc	subject00038	-0.095883
