sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-189	02	sham	subject00000	0.21622
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-189	01	rtpj	subject00001	-0.334494
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-189	04	vlpfc	subject00002	-1.130664
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-189	03	both	subject00003	0.079082
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-203	03	sham	subject00004	0.685976
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-203	04	rtpj	subject00005	-0.050593
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-203	01	vlpfc	subject00006	0.239142
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-203	02	both	subject00007	-0.074675
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-207	02	sham	subject00008	-0.474963
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-207	01	rtpj	subject00009	-0.041539
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-207	04	vlpfc	subject00010	-0.625537
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-207	03	both	subject00011	0.575763
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-208	04	sham	subject00012	-0.322648
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-208	02	rtpj	subject00013	-0.046926
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-208	03	vlpfc	subject00014	0.607266
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-208	01	both	subject00015	0.321732
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-209	01	sham	subject00016	0.050705
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-209	03	rtpj	subject00017	-0.00846
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-209	02	vlpfc	subject00018	1.307736
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-209	04	both	subject00019	0.878548
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-210	03	sham	subject00020	-0.56864
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-210	04	rtpj	subject00021	-0.48281
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-210	01	vlpfc	subject00022	0.164445
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-210	02	both	subject00023	-0.318274
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-211	04	sham	subject00024	0.200684
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-211	02	rtpj	subject00025	1.19517
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-211	03	vlpfc	subject00026	-0.172207
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-211	01	both	subject00027	0.041335
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-213	01	sham	subject00028	0.535669
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-213	03	rtpj	subject00029	-0.271418
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-213	02	vlpfc	subject00030	-0.745945
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-213	04	both	subject00031	0.266215
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-214	04	sham	subject00032	-0.397389
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-214	02	rtpj	subject00033	0.057293
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-214	03	vlpfc	subject00034	-0.67536
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-214	01	both	subject00035	0.648488
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-215	02	sham	subject00036	-0.158071
none	smith09_ppi-dmn-ecn	dmn-x-ecn	11	both-minus-mean-rtpj-vlpfc	positive	sub-215	01	rtpj	subject00037	-0.034836
