analysis	ppi	network	component	condition_contrast	design_contrast	direction	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	corrp_file	copied_image	copied_sidecar	roi_values_tsv
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.2742	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2684	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.9438	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.5198	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	mean-stimulation-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.047	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-ecn	dmn-ecn	dmn-x-ecn	12	mean-stimulation-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0002	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-ecn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-ecn/task-rest_network-dmn-x-ecn_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.7202	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0406	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5156	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0406	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.0312	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2382	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.045	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2544	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.0464	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2516	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.9472	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0006	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.035	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	mean-stimulation-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.9164	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-reward	dmn-reward	dmn-x-reward	12	mean-stimulation-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0436	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-reward.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-reward/task-rest_network-dmn-x-reward_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5174	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.9586	true	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnLeftFpnPpiComp0012BothMinusShamNegativeClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnLeftFpnPpiComp0012BothMinusShamNegativeClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnLeftFpnPpiComp0012BothMinusShamNegativeClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.2628	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.8878	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.229	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.7114	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5244	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0618	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.9012	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.0004	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.7094	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2458	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.2416	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.6948	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	mean-stimulation-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5204	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-left-fpn	dmn-left-fpn	dmn-x-left-fpn	12	mean-stimulation-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.2358	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-left-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-left-fpn/task-rest_network-dmn-x-left-fpn_component-0012_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.7216	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.7178	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.5162	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.9738	true	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnRightFpnPpiComp0012BothMinusRtpjNegativeClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnRightFpnPpiComp0012BothMinusRtpjNegativeClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/ppi_randomise_summary/task-rest_space-MNI152NLin6Asym_desc-Smith09DmnRightFpnPpiComp0012BothMinusRtpjNegativeClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	0.2536	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
smith09-reward_ppi-dmn-right-fpn	dmn-right-fpn	dmn-x-right-fpn	12	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	0.536	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised_ppi-dmn-right-fpn.dr/contrasts/component-0012_stat-beta/randomise/network-dmn-x-right-fpn/task-rest_network-dmn-x-right-fpn_component-0012_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
