sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-189	02	sham	subject00000	0.146678
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-189	01	rtpj	subject00001	0.20385
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-189	04	vlpfc	subject00002	0.140131
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-189	03	both	subject00003	-0.234479
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-203	03	sham	subject00004	-0.14001
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-203	04	rtpj	subject00005	0.376419
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-203	01	vlpfc	subject00006	0.308519
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-203	02	both	subject00007	0.347349
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-207	02	sham	subject00008	0.112322
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-207	01	rtpj	subject00009	0.253243
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-207	04	vlpfc	subject00010	-0.554875
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-207	03	both	subject00011	-0.68379
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-208	04	sham	subject00012	-0.185485
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-208	02	rtpj	subject00013	0.003652
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-208	03	vlpfc	subject00014	-0.217093
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-208	01	both	subject00015	-0.259989
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-209	01	sham	subject00016	-0.557148
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-209	03	rtpj	subject00017	-0.153246
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-209	02	vlpfc	subject00018	-0.109831
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-209	04	both	subject00019	-1.154309
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-210	03	sham	subject00020	0.416762
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-210	04	rtpj	subject00021	0.186347
none	smith09-reward_ppi-dmn-right-fpn	dmn-x-right-fpn	12	both-minus-rtpj	negative	sub-210	01	vlpfc	subject00022	-0.256319
