sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-189	02	sham	subject00000	-0.436262
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-189	01	rtpj	subject00001	0.892751
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-189	04	vlpfc	subject00002	-0.378009
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-189	03	both	subject00003	0.11811
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-203	03	sham	subject00004	-2.209123
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-203	04	rtpj	subject00005	0.57374
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-203	01	vlpfc	subject00006	0.674287
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-203	02	both	subject00007	-0.037029
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-207	02	sham	subject00008	-1.329714
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-207	01	rtpj	subject00009	1.486286
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-207	04	vlpfc	subject00010	1.162036
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-207	03	both	subject00011	0.116728
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-208	04	sham	subject00012	-2.633734
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-208	02	rtpj	subject00013	1.991306
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-208	03	vlpfc	subject00014	2.312206
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-208	01	both	subject00015	1.205815
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-209	01	sham	subject00016	0.375954
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-209	03	rtpj	subject00017	4.469624
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-209	02	vlpfc	subject00018	0.624059
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-209	04	both	subject00019	-0.105382
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-210	03	sham	subject00020	-0.667719
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-210	04	rtpj	subject00021	-1.822785
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-210	01	vlpfc	subject00022	-0.422026
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-210	02	both	subject00023	-0.100197
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-211	04	sham	subject00024	-0.616824
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-211	02	rtpj	subject00025	0.187658
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-211	03	vlpfc	subject00026	0.389562
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-211	01	both	subject00027	-0.928655
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-213	01	sham	subject00028	-4.971347
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-213	03	rtpj	subject00029	-0.539091
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-213	02	vlpfc	subject00030	1.790301
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-213	04	both	subject00031	0.525181
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-214	04	sham	subject00032	-1.05122
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-214	02	rtpj	subject00033	-1.836072
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-214	03	vlpfc	subject00034	1.526489
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-214	01	both	subject00035	-2.401739
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-215	02	sham	subject00036	-0.795762
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-215	01	rtpj	subject00037	-0.941872
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-215	04	vlpfc	subject00038	-0.461194
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-215	03	both	subject00039	-0.145492
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-217	03	sham	subject00040	-1.570094
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-217	04	rtpj	subject00041	-1.509874
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-217	01	vlpfc	subject00042	0.277528
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-217	02	both	subject00043	1.787309
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-218	01	sham	subject00044	-3.625113
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-218	03	rtpj	subject00045	0.642821
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-218	02	vlpfc	subject00046	7.044285
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-218	04	both	subject00047	2.153409
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-219	04	sham	subject00048	0.870454
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-219	02	rtpj	subject00049	-0.976245
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-219	03	vlpfc	subject00050	1.48468
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-219	01	both	subject00051	-0.255989
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-220	02	sham	subject00052	-0.461594
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-220	01	rtpj	subject00053	1.787769
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-220	04	vlpfc	subject00054	-0.304607
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-220	03	both	subject00055	0.524828
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-221	02	sham	subject00056	-0.787969
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-221	01	rtpj	subject00057	-2.326731
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-221	04	vlpfc	subject00058	-0.564924
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-221	03	both	subject00059	-0.644948
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-222	03	sham	subject00060	-3.727711
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-222	04	rtpj	subject00061	-7.173017
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-222	01	vlpfc	subject00062	1.5242
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-222	02	both	subject00063	-10.315682
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-225	04	sham	subject00064	-0.204938
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-225	02	rtpj	subject00065	0.508322
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-225	03	vlpfc	subject00066	0.264891
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-225	01	both	subject00067	1.592791
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-226	03	sham	subject00068	-2.43892
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-226	04	rtpj	subject00069	-3.213148
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-226	01	vlpfc	subject00070	1.594101
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-226	02	both	subject00071	0.442564
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-227	02	sham	subject00072	-0.576746
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-227	01	rtpj	subject00073	-1.287753
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-227	04	vlpfc	subject00074	2.37974
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-227	03	both	subject00075	-0.543888
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-228	01	sham	subject00076	-2.030018
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-228	03	rtpj	subject00077	-0.583252
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-228	02	vlpfc	subject00078	0.613764
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-228	04	both	subject00079	1.18193
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-230	01	sham	subject00080	-0.006523
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-230	03	rtpj	subject00081	-1.352893
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-230	02	vlpfc	subject00082	1.635672
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-230	04	both	subject00083	-0.130892
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-231	03	sham	subject00084	-0.615407
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-231	04	rtpj	subject00085	1.311695
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-231	01	vlpfc	subject00086	-0.833053
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-231	02	both	subject00087	-0.634607
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-234	04	sham	subject00088	-2.406702
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-234	02	rtpj	subject00089	-2.521941
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-234	03	vlpfc	subject00090	0.015071
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-234	01	both	subject00091	-0.068114
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-235	01	sham	subject00092	-0.643037
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-235	03	rtpj	subject00093	-0.051612
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-235	02	vlpfc	subject00094	1.813229
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-235	04	both	subject00095	-2.862286
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-236	02	sham	subject00096	-1.088711
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-236	01	rtpj	subject00097	-2.28184
none	0	sensorimotor	22	vlpfc-minus-sham	positive	sub-236	04	vlpfc	subject00098	0.128452
