sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-189	02	sham	subject00000	-0.464722
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-189	01	rtpj	subject00001	-0.521315
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-189	04	vlpfc	subject00002	-0.396526
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-189	03	both	subject00003	-0.476488
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-203	03	sham	subject00004	-0.720984
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-203	04	rtpj	subject00005	-0.940565
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-203	01	vlpfc	subject00006	-0.272782
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-203	02	both	subject00007	-0.524812
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-207	02	sham	subject00008	-0.73253
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-207	01	rtpj	subject00009	-1.029114
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-207	04	vlpfc	subject00010	-1.144506
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-207	03	both	subject00011	-0.80465
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-208	04	sham	subject00012	0.469273
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-208	02	rtpj	subject00013	-1.45204
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-208	03	vlpfc	subject00014	-0.358089
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-208	01	both	subject00015	-0.609828
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-209	01	sham	subject00016	-0.702347
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-209	03	rtpj	subject00017	0.151927
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-209	02	vlpfc	subject00018	0.886121
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-209	04	both	subject00019	-0.243558
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-210	03	sham	subject00020	0.323296
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-210	04	rtpj	subject00021	-1.518938
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-210	01	vlpfc	subject00022	0.6653
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-210	02	both	subject00023	-0.909577
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-211	04	sham	subject00024	-0.720018
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-211	02	rtpj	subject00025	-0.283649
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-211	03	vlpfc	subject00026	0.333825
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-211	01	both	subject00027	-0.717093
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-213	01	sham	subject00028	-0.849309
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-213	03	rtpj	subject00029	-0.99012
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-213	02	vlpfc	subject00030	-0.123049
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-213	04	both	subject00031	-0.550624
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-214	04	sham	subject00032	-0.346842
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-214	02	rtpj	subject00033	-0.365046
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-214	03	vlpfc	subject00034	-0.488855
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-214	01	both	subject00035	0.058744
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-215	02	sham	subject00036	-0.642356
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-215	01	rtpj	subject00037	-0.215101
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-215	04	vlpfc	subject00038	-0.444446
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-215	03	both	subject00039	-0.661731
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-217	03	sham	subject00040	-0.447623
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-217	04	rtpj	subject00041	-0.225274
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-217	01	vlpfc	subject00042	0.100622
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-217	02	both	subject00043	-0.48363
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-218	01	sham	subject00044	-0.328552
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-218	03	rtpj	subject00045	-0.698036
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-218	02	vlpfc	subject00046	2.686004
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-218	04	both	subject00047	0.917409
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-219	04	sham	subject00048	-0.239649
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-219	02	rtpj	subject00049	-0.273434
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-219	03	vlpfc	subject00050	0.218147
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-219	01	both	subject00051	-0.007955
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-220	02	sham	subject00052	-0.013707
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-220	01	rtpj	subject00053	-0.39835
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-220	04	vlpfc	subject00054	-0.493472
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-220	03	both	subject00055	0.211528
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-221	02	sham	subject00056	-1.194416
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-221	01	rtpj	subject00057	-0.649066
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-221	04	vlpfc	subject00058	-0.270514
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-221	03	both	subject00059	-0.075977
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-222	03	sham	subject00060	1.108813
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-222	04	rtpj	subject00061	-0.007289
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-222	01	vlpfc	subject00062	0.769585
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-222	02	both	subject00063	2.087567
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-225	04	sham	subject00064	-0.71538
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-225	02	rtpj	subject00065	-2.031759
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-225	03	vlpfc	subject00066	-0.507165
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-225	01	both	subject00067	-1.347681
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-226	03	sham	subject00068	-0.355253
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-226	04	rtpj	subject00069	-0.318186
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-226	01	vlpfc	subject00070	-0.238159
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-226	02	both	subject00071	0.000988
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-227	02	sham	subject00072	-0.685649
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-227	01	rtpj	subject00073	-0.812506
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-227	04	vlpfc	subject00074	-0.45797
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-227	03	both	subject00075	-1.067193
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-228	01	sham	subject00076	1.24472
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-228	03	rtpj	subject00077	0.628897
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-228	02	vlpfc	subject00078	0.982932
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-228	04	both	subject00079	0.577187
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-230	01	sham	subject00080	-0.690651
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-230	03	rtpj	subject00081	-1.056831
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-230	02	vlpfc	subject00082	-0.159531
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-230	04	both	subject00083	-0.354809
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-231	03	sham	subject00084	-0.962933
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-231	04	rtpj	subject00085	-1.69945
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-231	01	vlpfc	subject00086	-0.672337
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-231	02	both	subject00087	-0.284449
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-234	04	sham	subject00088	0.014109
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-234	02	rtpj	subject00089	-0.213483
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-234	03	vlpfc	subject00090	0.589342
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-234	01	both	subject00091	0.128403
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-235	01	sham	subject00092	0.497699
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-235	03	rtpj	subject00093	-1.342985
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-235	02	vlpfc	subject00094	0.052625
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-235	04	both	subject00095	-0.409869
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-236	02	sham	subject00096	-2.513216
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-236	01	rtpj	subject00097	-1.372853
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-236	04	vlpfc	subject00098	-0.649282
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-236	03	both	subject00099	-0.009257
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-237	03	sham	subject00100	-0.933322
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-237	04	rtpj	subject00101	-1.093226
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-237	01	vlpfc	subject00102	0.049758
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-237	02	both	subject00103	-1.608621
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-238	04	sham	subject00104	-0.708441
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-238	02	rtpj	subject00105	-1.322523
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-238	03	vlpfc	subject00106	0.466187
none	smith09-reward	dmn	4	rtpj-minus-vlpfc	negative	sub-238	01	both	subject00107	-2.095635
