sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	0	auditory	55	rtpj-minus-sham	positive	sub-189	02	sham	subject00000	-1.131512
none	0	auditory	55	rtpj-minus-sham	positive	sub-189	01	rtpj	subject00001	0.686523
none	0	auditory	55	rtpj-minus-sham	positive	sub-189	04	vlpfc	subject00002	3.087389
none	0	auditory	55	rtpj-minus-sham	positive	sub-189	03	both	subject00003	-0.282248
none	0	auditory	55	rtpj-minus-sham	positive	sub-203	03	sham	subject00004	-2.06192
none	0	auditory	55	rtpj-minus-sham	positive	sub-203	04	rtpj	subject00005	0.240444
none	0	auditory	55	rtpj-minus-sham	positive	sub-203	01	vlpfc	subject00006	-0.040576
none	0	auditory	55	rtpj-minus-sham	positive	sub-203	02	both	subject00007	2.542051
none	0	auditory	55	rtpj-minus-sham	positive	sub-207	02	sham	subject00008	-1.338827
none	0	auditory	55	rtpj-minus-sham	positive	sub-207	01	rtpj	subject00009	-0.30516
none	0	auditory	55	rtpj-minus-sham	positive	sub-207	04	vlpfc	subject00010	2.506917
none	0	auditory	55	rtpj-minus-sham	positive	sub-207	03	both	subject00011	0.070183
none	0	auditory	55	rtpj-minus-sham	positive	sub-208	04	sham	subject00012	-0.12042
none	0	auditory	55	rtpj-minus-sham	positive	sub-208	02	rtpj	subject00013	-1.000248
none	0	auditory	55	rtpj-minus-sham	positive	sub-208	03	vlpfc	subject00014	0.51824
none	0	auditory	55	rtpj-minus-sham	positive	sub-208	01	both	subject00015	-1.169936
none	0	auditory	55	rtpj-minus-sham	positive	sub-209	01	sham	subject00016	-2.812419
none	0	auditory	55	rtpj-minus-sham	positive	sub-209	03	rtpj	subject00017	-0.885965
none	0	auditory	55	rtpj-minus-sham	positive	sub-209	02	vlpfc	subject00018	-1.388836
none	0	auditory	55	rtpj-minus-sham	positive	sub-209	04	both	subject00019	-0.866537
none	0	auditory	55	rtpj-minus-sham	positive	sub-210	03	sham	subject00020	-1.110427
none	0	auditory	55	rtpj-minus-sham	positive	sub-210	04	rtpj	subject00021	0.746608
none	0	auditory	55	rtpj-minus-sham	positive	sub-210	01	vlpfc	subject00022	-0.448784
none	0	auditory	55	rtpj-minus-sham	positive	sub-210	02	both	subject00023	0.595362
none	0	auditory	55	rtpj-minus-sham	positive	sub-211	04	sham	subject00024	-0.974987
none	0	auditory	55	rtpj-minus-sham	positive	sub-211	02	rtpj	subject00025	0.120013
none	0	auditory	55	rtpj-minus-sham	positive	sub-211	03	vlpfc	subject00026	-0.542926
none	0	auditory	55	rtpj-minus-sham	positive	sub-211	01	both	subject00027	-0.3186
none	0	auditory	55	rtpj-minus-sham	positive	sub-213	01	sham	subject00028	0.148934
none	0	auditory	55	rtpj-minus-sham	positive	sub-213	03	rtpj	subject00029	1.308653
none	0	auditory	55	rtpj-minus-sham	positive	sub-213	02	vlpfc	subject00030	0.247269
none	0	auditory	55	rtpj-minus-sham	positive	sub-213	04	both	subject00031	0.80782
none	0	auditory	55	rtpj-minus-sham	positive	sub-214	04	sham	subject00032	-0.674174
none	0	auditory	55	rtpj-minus-sham	positive	sub-214	02	rtpj	subject00033	0.691442
none	0	auditory	55	rtpj-minus-sham	positive	sub-214	03	vlpfc	subject00034	0.501142
none	0	auditory	55	rtpj-minus-sham	positive	sub-214	01	both	subject00035	-0.319188
none	0	auditory	55	rtpj-minus-sham	positive	sub-215	02	sham	subject00036	-1.984748
none	0	auditory	55	rtpj-minus-sham	positive	sub-215	01	rtpj	subject00037	0.813427
none	0	auditory	55	rtpj-minus-sham	positive	sub-215	04	vlpfc	subject00038	-1.016655
none	0	auditory	55	rtpj-minus-sham	positive	sub-215	03	both	subject00039	-0.491959
none	0	auditory	55	rtpj-minus-sham	positive	sub-217	03	sham	subject00040	-1.048079
none	0	auditory	55	rtpj-minus-sham	positive	sub-217	04	rtpj	subject00041	2.02556
none	0	auditory	55	rtpj-minus-sham	positive	sub-217	01	vlpfc	subject00042	0.406136
none	0	auditory	55	rtpj-minus-sham	positive	sub-217	02	both	subject00043	1.295052
none	0	auditory	55	rtpj-minus-sham	positive	sub-218	01	sham	subject00044	0.106088
none	0	auditory	55	rtpj-minus-sham	positive	sub-218	03	rtpj	subject00045	0.536114
none	0	auditory	55	rtpj-minus-sham	positive	sub-218	02	vlpfc	subject00046	0.86714
none	0	auditory	55	rtpj-minus-sham	positive	sub-218	04	both	subject00047	-1.024552
none	0	auditory	55	rtpj-minus-sham	positive	sub-219	04	sham	subject00048	-1.55727
none	0	auditory	55	rtpj-minus-sham	positive	sub-219	02	rtpj	subject00049	0.17136
none	0	auditory	55	rtpj-minus-sham	positive	sub-219	03	vlpfc	subject00050	-1.432285
none	0	auditory	55	rtpj-minus-sham	positive	sub-219	01	both	subject00051	-2.36265
none	0	auditory	55	rtpj-minus-sham	positive	sub-220	02	sham	subject00052	-2.031069
none	0	auditory	55	rtpj-minus-sham	positive	sub-220	01	rtpj	subject00053	1.914022
none	0	auditory	55	rtpj-minus-sham	positive	sub-220	04	vlpfc	subject00054	1.396945
none	0	auditory	55	rtpj-minus-sham	positive	sub-220	03	both	subject00055	-2.022402
none	0	auditory	55	rtpj-minus-sham	positive	sub-221	02	sham	subject00056	-1.960827
none	0	auditory	55	rtpj-minus-sham	positive	sub-221	01	rtpj	subject00057	-0.184283
none	0	auditory	55	rtpj-minus-sham	positive	sub-221	04	vlpfc	subject00058	-0.502852
none	0	auditory	55	rtpj-minus-sham	positive	sub-221	03	both	subject00059	1.533596
none	0	auditory	55	rtpj-minus-sham	positive	sub-222	03	sham	subject00060	0.624949
none	0	auditory	55	rtpj-minus-sham	positive	sub-222	04	rtpj	subject00061	2.35699
none	0	auditory	55	rtpj-minus-sham	positive	sub-222	01	vlpfc	subject00062	-0.299535
