sensitivity_label	excluded_participants	analysis	network	component	condition_contrast	design_contrast	direction	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	completion_marker_exists	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	corrp_file	copied_image	copied_sidecar	roi_values_tsv
none		0	primary-visual	10	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.7288	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
none		0	primary-visual	10	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0538	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
none		0	primary-visual	10	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.8772	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
none		0	primary-visual	10	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0404	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
none		0	primary-visual	10	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0464	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
none		0	primary-visual	10	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0402	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
none		0	primary-visual	10	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0468	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
none		0	primary-visual	10	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.688	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
none		0	primary-visual	10	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0536	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
none		0	primary-visual	10	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0534	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
none		0	primary-visual	10	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.7326	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
none		0	primary-visual	10	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.4038	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
none		0	primary-visual	10	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.3686	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz			
none		0	primary-visual	10	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0394	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0010_stat-beta/randomise/network-primary-visual/task-rest_network-primary-visual_component-0010_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
none		0	occipital-pole	32	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.4442	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0032_stat-beta/randomise/network-occipital-pole/task-rest_network-occipital-pole_component-0032_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
none		0	occipital-pole	32	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0624	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0032_stat-beta/randomise/network-occipital-pole/task-rest_network-occipital-pole_component-0032_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
none		0	occipital-pole	32	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0544	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0032_stat-beta/randomise/network-occipital-pole/task-rest_network-occipital-pole_component-0032_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
none		0	occipital-pole	32	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.903	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0032_stat-beta/randomise/network-occipital-pole/task-rest_network-occipital-pole_component-0032_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
none		0	occipital-pole	32	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.7652	false	ok	derivatives/fsl/dual-regression_denoised_dim-00_task-rest.dr/contrasts/component-0032_stat-beta/randomise/network-occipital-pole/task-rest_network-occipital-pole_component-0032_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
