sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-189	02	sham	subject00000	0.416455
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-189	01	rtpj	subject00001	-0.231934
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-189	04	vlpfc	subject00002	0.909499
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-189	03	both	subject00003	-1.062678
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-203	03	sham	subject00004	-0.013669
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-203	04	rtpj	subject00005	0.900545
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-203	01	vlpfc	subject00006	-0.009775
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-203	02	both	subject00007	-0.127624
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-207	02	sham	subject00008	-1.615399
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-207	01	rtpj	subject00009	0.21649
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-207	04	vlpfc	subject00010	-0.213606
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-207	03	both	subject00011	-2.050837
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-208	04	sham	subject00012	-0.219299
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-208	02	rtpj	subject00013	0.490154
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-208	03	vlpfc	subject00014	-0.193686
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-208	01	both	subject00015	-0.084299
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-209	01	sham	subject00016	-1.250479
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-209	03	rtpj	subject00017	-0.003938
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-209	02	vlpfc	subject00018	1.653174
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-209	04	both	subject00019	-0.12806
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-210	03	sham	subject00020	-0.137583
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-210	04	rtpj	subject00021	-0.66619
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-210	01	vlpfc	subject00022	0.122401
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-210	02	both	subject00023	-0.394837
none	smith09	lateral-visual	3	both-minus-vlpfc	negative	sub-211	04	sham	subject00024	-0.13301
