analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
smith09	ecn	8	both-minus-rtpj	negative	sub-189	02	sham	subject00000	-0.376005
smith09	ecn	8	both-minus-rtpj	negative	sub-189	01	rtpj	subject00001	0.138814
smith09	ecn	8	both-minus-rtpj	negative	sub-189	04	vlpfc	subject00002	-0.61555
smith09	ecn	8	both-minus-rtpj	negative	sub-189	03	both	subject00003	-0.130249
smith09	ecn	8	both-minus-rtpj	negative	sub-203	03	sham	subject00004	-0.581639
smith09	ecn	8	both-minus-rtpj	negative	sub-203	04	rtpj	subject00005	-0.260805
smith09	ecn	8	both-minus-rtpj	negative	sub-203	01	vlpfc	subject00006	-0.754198
smith09	ecn	8	both-minus-rtpj	negative	sub-203	02	both	subject00007	-0.585523
smith09	ecn	8	both-minus-rtpj	negative	sub-207	02	sham	subject00008	-1.059271
smith09	ecn	8	both-minus-rtpj	negative	sub-207	01	rtpj	subject00009	0.390294
smith09	ecn	8	both-minus-rtpj	negative	sub-207	04	vlpfc	subject00010	-1.185239
smith09	ecn	8	both-minus-rtpj	negative	sub-207	03	both	subject00011	-1.317223
smith09	ecn	8	both-minus-rtpj	negative	sub-208	04	sham	subject00012	-0.603583
smith09	ecn	8	both-minus-rtpj	negative	sub-208	02	rtpj	subject00013	0.101909
smith09	ecn	8	both-minus-rtpj	negative	sub-208	03	vlpfc	subject00014	-0.184556
smith09	ecn	8	both-minus-rtpj	negative	sub-208	01	both	subject00015	-0.661308
smith09	ecn	8	both-minus-rtpj	negative	sub-209	01	sham	subject00016	-2.15158
smith09	ecn	8	both-minus-rtpj	negative	sub-209	03	rtpj	subject00017	-1.749048
smith09	ecn	8	both-minus-rtpj	negative	sub-209	02	vlpfc	subject00018	-1.415134
smith09	ecn	8	both-minus-rtpj	negative	sub-209	04	both	subject00019	-2.861102
smith09	ecn	8	both-minus-rtpj	negative	sub-210	03	sham	subject00020	0.074434
smith09	ecn	8	both-minus-rtpj	negative	sub-210	04	rtpj	subject00021	0.105424
smith09	ecn	8	both-minus-rtpj	negative	sub-210	01	vlpfc	subject00022	-0.420317
smith09	ecn	8	both-minus-rtpj	negative	sub-210	02	both	subject00023	-0.200176
smith09	ecn	8	both-minus-rtpj	negative	sub-211	04	sham	subject00024	-0.035912
smith09	ecn	8	both-minus-rtpj	negative	sub-211	02	rtpj	subject00025	-0.234073
smith09	ecn	8	both-minus-rtpj	negative	sub-211	03	vlpfc	subject00026	-0.021134
smith09	ecn	8	both-minus-rtpj	negative	sub-211	01	both	subject00027	-0.544284
smith09	ecn	8	both-minus-rtpj	negative	sub-213	01	sham	subject00028	0.127565
smith09	ecn	8	both-minus-rtpj	negative	sub-213	03	rtpj	subject00029	-0.275923
smith09	ecn	8	both-minus-rtpj	negative	sub-213	02	vlpfc	subject00030	-0.290594
smith09	ecn	8	both-minus-rtpj	negative	sub-213	04	both	subject00031	-0.488689
smith09	ecn	8	both-minus-rtpj	negative	sub-214	04	sham	subject00032	-0.39468
smith09	ecn	8	both-minus-rtpj	negative	sub-214	02	rtpj	subject00033	-0.18796
smith09	ecn	8	both-minus-rtpj	negative	sub-214	03	vlpfc	subject00034	-0.740062
smith09	ecn	8	both-minus-rtpj	negative	sub-214	01	both	subject00035	-1.014828
smith09	ecn	8	both-minus-rtpj	negative	sub-215	02	sham	subject00036	-0.196189
smith09	ecn	8	both-minus-rtpj	negative	sub-215	01	rtpj	subject00037	-0.308373
smith09	ecn	8	both-minus-rtpj	negative	sub-215	04	vlpfc	subject00038	-0.380501
