sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-189	02	sham	subject00000	-0.615805
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-189	01	rtpj	subject00001	-0.888652
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-189	04	vlpfc	subject00002	0.182994
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-189	03	both	subject00003	-1.063816
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-203	03	sham	subject00004	-0.91623
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-203	04	rtpj	subject00005	-1.812531
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-203	01	vlpfc	subject00006	-0.523321
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-203	02	both	subject00007	-0.897666
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-207	02	sham	subject00008	-0.27559
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-207	01	rtpj	subject00009	-0.506801
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-207	04	vlpfc	subject00010	-0.764059
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-207	03	both	subject00011	-0.602614
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-208	04	sham	subject00012	-0.455212
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-208	02	rtpj	subject00013	0.28656
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-208	03	vlpfc	subject00014	0.32423
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-208	01	both	subject00015	0.490421
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-209	01	sham	subject00016	-0.84281
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-209	03	rtpj	subject00017	-4.353617
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-209	02	vlpfc	subject00018	-0.257024
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-209	04	both	subject00019	-2.665176
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-210	03	sham	subject00020	1.292974
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-210	04	rtpj	subject00021	0.104872
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-210	01	vlpfc	subject00022	2.218582
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-210	02	both	subject00023	1.566486
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-211	04	sham	subject00024	-0.73477
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-211	02	rtpj	subject00025	-1.054438
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-211	03	vlpfc	subject00026	-0.012377
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-211	01	both	subject00027	-0.118401
none	smith09	lateral-visual	3	rtpj-minus-vlpfc	negative	sub-213	01	sham	subject00028	-0.206149
