analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-189	02	sham	subject00000	-0.523695
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-189	01	rtpj	subject00001	-0.623069
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-189	04	vlpfc	subject00002	-0.159795
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-189	03	both	subject00003	-0.108931
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-203	03	sham	subject00004	-0.787825
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-203	04	rtpj	subject00005	-1.079888
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-203	01	vlpfc	subject00006	-0.415368
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-203	02	both	subject00007	-0.848324
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-207	02	sham	subject00008	-0.536572
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-207	01	rtpj	subject00009	-0.914146
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-207	04	vlpfc	subject00010	-0.992247
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-207	03	both	subject00011	-0.728162
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-208	04	sham	subject00012	0.563508
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-208	02	rtpj	subject00013	-1.416837
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-208	03	vlpfc	subject00014	-0.37241
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-208	01	both	subject00015	-0.6871
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-209	01	sham	subject00016	-0.766083
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-209	03	rtpj	subject00017	0.229933
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-209	02	vlpfc	subject00018	0.747763
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-209	04	both	subject00019	-0.25771
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-210	03	sham	subject00020	0.296418
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-210	04	rtpj	subject00021	-1.496779
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-210	01	vlpfc	subject00022	0.659479
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-210	02	both	subject00023	-0.380163
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-211	04	sham	subject00024	-0.703501
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-211	02	rtpj	subject00025	-0.328826
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-211	03	vlpfc	subject00026	0.459793
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-211	01	both	subject00027	-0.644264
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-213	01	sham	subject00028	-1.05616
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-213	03	rtpj	subject00029	-0.996006
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-213	02	vlpfc	subject00030	-0.292097
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-213	04	both	subject00031	-0.740766
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-214	04	sham	subject00032	-0.301111
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-214	02	rtpj	subject00033	-0.545998
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-214	03	vlpfc	subject00034	-0.412713
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-214	01	both	subject00035	-0.377628
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-215	02	sham	subject00036	-0.70216
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-215	01	rtpj	subject00037	-0.436994
smith09	dmn	4	rtpj-minus-vlpfc	negative	sub-215	04	vlpfc	subject00038	-0.438584
