sensitivity_label	analysis	network	component	condition_contrast	direction	participant	run	condition	dual_regression_label	stage2_beta
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-189	02	sham	subject00000	1.324231
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-189	01	rtpj	subject00001	-0.022542
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-189	04	vlpfc	subject00002	1.472382
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-189	03	both	subject00003	1.134159
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-203	03	sham	subject00004	1.168055
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-203	04	rtpj	subject00005	1.452925
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-203	01	vlpfc	subject00006	1.310682
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-203	02	both	subject00007	1.687913
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-207	02	sham	subject00008	-0.073918
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-207	01	rtpj	subject00009	-0.529868
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-207	04	vlpfc	subject00010	0.350524
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-207	03	both	subject00011	0.898931
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-208	04	sham	subject00012	1.257429
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-208	02	rtpj	subject00013	2.230751
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-208	03	vlpfc	subject00014	2.173331
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-208	01	both	subject00015	2.463575
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-209	01	sham	subject00016	1.150414
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-209	03	rtpj	subject00017	-0.061224
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-209	02	vlpfc	subject00018	1.306599
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-209	04	both	subject00019	0.605387
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-210	03	sham	subject00020	1.228095
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-210	04	rtpj	subject00021	0.880135
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-210	01	vlpfc	subject00022	0.692773
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-210	02	both	subject00023	2.170341
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-211	04	sham	subject00024	0.920474
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-211	02	rtpj	subject00025	0.090234
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-211	03	vlpfc	subject00026	0.933527
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-211	01	both	subject00027	0.297194
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-213	01	sham	subject00028	0.978045
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-213	03	rtpj	subject00029	0.569778
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-213	02	vlpfc	subject00030	0.896792
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-213	04	both	subject00031	1.194442
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-214	04	sham	subject00032	0.141149
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-214	02	rtpj	subject00033	0.680708
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-214	03	vlpfc	subject00034	0.834461
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-214	01	both	subject00035	0.951134
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-215	02	sham	subject00036	0.245624
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-215	01	rtpj	subject00037	0.050647
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-215	04	vlpfc	subject00038	0.874208
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-215	03	both	subject00039	0.719557
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-217	03	sham	subject00040	1.30895
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-217	04	rtpj	subject00041	0.712143
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-217	01	vlpfc	subject00042	0.467555
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-217	02	both	subject00043	1.790982
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-218	01	sham	subject00044	0.963956
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-218	03	rtpj	subject00045	1.226718
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-218	02	vlpfc	subject00046	3.241194
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-218	04	both	subject00047	3.061898
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-219	04	sham	subject00048	1.504592
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-219	02	rtpj	subject00049	0.362061
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-219	03	vlpfc	subject00050	0.821436
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-219	01	both	subject00051	0.794223
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-220	02	sham	subject00052	0.676625
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-220	01	rtpj	subject00053	-0.734088
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-220	04	vlpfc	subject00054	-0.117845
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-220	03	both	subject00055	0.551037
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-221	02	sham	subject00056	0.930049
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-221	01	rtpj	subject00057	0.676187
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-221	04	vlpfc	subject00058	1.406813
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-221	03	both	subject00059	0.449904
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-222	03	sham	subject00060	3.236985
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-222	04	rtpj	subject00061	0.22587
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-222	01	vlpfc	subject00062	1.001315
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-222	02	both	subject00063	4.129805
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-225	04	sham	subject00064	1.334132
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-225	02	rtpj	subject00065	1.460663
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-225	03	vlpfc	subject00066	1.610545
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-225	01	both	subject00067	0.833897
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-226	03	sham	subject00068	0.781371
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-226	04	rtpj	subject00069	-0.209954
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-226	01	vlpfc	subject00070	0.659659
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-226	02	both	subject00071	1.069461
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-227	02	sham	subject00072	0.841606
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-227	01	rtpj	subject00073	0.733724
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-227	04	vlpfc	subject00074	0.99356
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-227	03	both	subject00075	1.505307
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-228	01	sham	subject00076	1.020623
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-228	03	rtpj	subject00077	0.841939
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-228	02	vlpfc	subject00078	0.729247
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-228	04	both	subject00079	0.903581
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-230	01	sham	subject00080	0.942916
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-230	03	rtpj	subject00081	0.461676
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-230	02	vlpfc	subject00082	-0.030221
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-230	04	both	subject00083	1.58818
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-231	03	sham	subject00084	0.780602
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-231	04	rtpj	subject00085	1.05436
none	smith09-reward	sensorimotor	6	both-minus-rtpj	positive	sub-231	01	vlpfc	subject00086	0.987515
