sensitivity_label	excluded_participants	analysis	network	component	condition_contrast	design_contrast	direction	inference	design_con_valid	group_input_exists	expected_participants	group_input_volumes	group_input_complete	completion_marker_exists	tstat_exists	corrp_exists	peak_corrp	peak_gt_threshold	status	corrp_file	copied_image	copied_sidecar	roi_values_tsv
none		smith09-reward	dmn	4	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.4642	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.6434	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	dmn	4	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0532	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.4746	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	dmn	4	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.2342	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.651	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	dmn	4	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.073	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.9664	true	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz	derivatives/fsl/randomise_summary/task-rest_space-MNI152NLin6Asym_desc-smith09RewardDmnComp0004RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/randomise_summary/task-rest_space-MNI152NLin6Asym_desc-smith09RewardDmnComp0004RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/randomise_summary/task-rest_space-MNI152NLin6Asym_desc-smith09RewardDmnComp0004RtpjMinusVlpfcNegativeClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
none		smith09-reward	dmn	4	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.2064	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.6536	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	dmn	4	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.852	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.4786	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	dmn	4	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.465	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.4634	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	dmn	4	mean-stimulation-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0468	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	dmn	4	mean-stimulation-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.2402	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0004_stat-beta/randomise/network-dmn/task-rest_network-dmn_component-0004_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	ecn	8	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.2176	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0412	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	ecn	8	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.9094	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.9548	true	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz	derivatives/fsl/randomise_summary/task-rest_space-MNI152NLin6Asym_desc-smith09RewardEcnComp0008BothMinusRtpjNegativeClusterExtentCorrp_stat-corrp_statmap.nii.gz	derivatives/fsl/randomise_summary/task-rest_space-MNI152NLin6Asym_desc-smith09RewardEcnComp0008BothMinusRtpjNegativeClusterExtentCorrp_stat-corrp_statmap.json	derivatives/fsl/randomise_summary/task-rest_space-MNI152NLin6Asym_desc-smith09RewardEcnComp0008BothMinusRtpjNegativeClusterExtentCorrp_stat-stage2Beta_timeseries.tsv
none		smith09-reward	ecn	8	both-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.2236	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	both-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.0432	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	ecn	8	rtpj-minus-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.6544	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	rtpj-minus-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.2464	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-rtpj-minus-vlpfc_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	ecn	8	rtpj-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.2296	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	rtpj-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.6426	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-rtpj-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	ecn	8	vlpfc-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.7984	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	vlpfc-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.9158	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-vlpfc-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	ecn	8	both-minus-mean-rtpj-vlpfc	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.496	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	both-minus-mean-rtpj-vlpfc	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.2502	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-both-minus-mean-rtpj-vlpfc_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	ecn	8	mean-stimulation-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.776	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	ecn	8	mean-stimulation-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.6548	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0008_stat-beta/randomise/network-ecn/task-rest_network-ecn_component-0008_stat-beta_contrast-mean-stimulation-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	right-fpn	9	both-minus-sham	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.0416	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0009_stat-beta/randomise/network-right-fpn/task-rest_network-right-fpn_component-0009_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	right-fpn	9	both-minus-sham	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.4702	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0009_stat-beta/randomise/network-right-fpn/task-rest_network-right-fpn_component-0009_stat-beta_contrast-both-minus-sham_clustere_corrp_tstat2.nii.gz			
none		smith09-reward	right-fpn	9	both-minus-rtpj	C1	positive	cluster-extent	true	true	27	27	true	true	true	true	0.222	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0009_stat-beta/randomise/network-right-fpn/task-rest_network-right-fpn_component-0009_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat1.nii.gz			
none		smith09-reward	right-fpn	9	both-minus-rtpj	C2	negative	cluster-extent	true	true	27	27	true	true	true	true	0.4582	false	ok	derivatives/fsl/dual-regression_smith09-reward_denoised.dr/contrasts/component-0009_stat-beta/randomise/network-right-fpn/task-rest_network-right-fpn_component-0009_stat-beta_contrast-both-minus-rtpj_clustere_corrp_tstat2.nii.gz			
