participant	session	task	acquisition	run	echo	tsnr	fd_mean	source	condition	low_tsnr	tsnr_lt_threshold	high_fd_mean	fd_mean_gt_0.5	review
sub-189		rest		01		53.3994	0.110937	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-189/func/sub-189_task-rest_run-01_bold.json	rtpj	false	false	false	false	false
sub-189		rest		02		56.0667	0.121901	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-189/func/sub-189_task-rest_run-02_bold.json	sham	false	false	false	false	false
sub-189		rest		03		56.2637	0.109461	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-189/func/sub-189_task-rest_run-03_bold.json	both	false	false	false	false	false
sub-189		rest		04		53.3924	0.131919	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-189/func/sub-189_task-rest_run-04_bold.json	vlpfc	false	false	false	false	false
sub-203		rest		01		47.2044	0.170472	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-203/func/sub-203_task-rest_run-01_bold.json	vlpfc	false	false	false	false	false
sub-203		rest		02		51.9162	0.222489	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-203/func/sub-203_task-rest_run-02_bold.json	both	false	false	false	false	false
sub-203		rest		03		56.8281	0.175815	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-203/func/sub-203_task-rest_run-03_bold.json	sham	false	false	false	false	false
sub-203		rest		04		56.8674	0.200737	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-203/func/sub-203_task-rest_run-04_bold.json	rtpj	false	false	false	false	false
sub-207		rest		01		23.8659	0.139039	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-207/func/sub-207_task-rest_run-01_bold.json	rtpj	false	true	false	false	true
sub-207		rest		02		24.2	0.19317	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-207/func/sub-207_task-rest_run-02_bold.json	sham	false	true	false	false	true
sub-207		rest		03		24.675	0.242879	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-207/func/sub-207_task-rest_run-03_bold.json	both	false	true	false	false	true
sub-207		rest		04		22.7887	0.283175	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-207/func/sub-207_task-rest_run-04_bold.json	vlpfc	false	true	false	false	true
sub-208		rest		01		46.4941	0.157518	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-208/func/sub-208_task-rest_run-01_bold.json	both	false	false	false	false	false
sub-208		rest		02		36.4262	0.156329	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-208/func/sub-208_task-rest_run-02_bold.json	rtpj	false	false	false	false	false
sub-208		rest		03		34.3895	0.192562	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-208/func/sub-208_task-rest_run-03_bold.json	vlpfc	false	false	false	false	false
sub-208		rest		04		42.0557	0.227311	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-208/func/sub-208_task-rest_run-04_bold.json	sham	false	false	false	false	false
sub-209		rest		01		19.1101	0.523508	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-209/func/sub-209_task-rest_run-01_bold.json	sham	false	true	true	true	true
sub-209		rest		02		18.7313	0.848803	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-209/func/sub-209_task-rest_run-02_bold.json	vlpfc	false	true	true	true	true
sub-209		rest		03		20.6622	0.548939	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-209/func/sub-209_task-rest_run-03_bold.json	rtpj	false	true	true	true	true
sub-209		rest		04		25.1539	0.463731	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-209/func/sub-209_task-rest_run-04_bold.json	both	false	true	false	false	true
sub-210		rest		01		38.9908	0.177585	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-210/func/sub-210_task-rest_run-01_bold.json	vlpfc	false	false	false	false	false
sub-210		rest		02		32.3543	0.28806	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-210/func/sub-210_task-rest_run-02_bold.json	both	false	false	false	false	false
sub-210		rest		03		38.2033	0.168574	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-210/func/sub-210_task-rest_run-03_bold.json	sham	false	false	false	false	false
sub-210		rest		04		39.1677	0.207673	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-210/func/sub-210_task-rest_run-04_bold.json	rtpj	false	false	false	false	false
sub-211		rest		01		46.3643	0.114624	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-211/func/sub-211_task-rest_run-01_bold.json	both	false	false	false	false	false
sub-211		rest		02		43.3899	0.165144	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-211/func/sub-211_task-rest_run-02_bold.json	rtpj	false	false	false	false	false
sub-211		rest		03		51.4714	0.154989	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-211/func/sub-211_task-rest_run-03_bold.json	vlpfc	false	false	false	false	false
sub-211		rest		04		48.6218	0.180812	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-211/func/sub-211_task-rest_run-04_bold.json	sham	false	false	false	false	false
sub-212		rest		01		33.2246	0.323786	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-212/func/sub-212_task-rest_run-01_bold.json	sham	false	false	false	false	false
sub-212		rest		02		29.3971	0.447492	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-212/func/sub-212_task-rest_run-02_bold.json	vlpfc	false	true	false	false	true
sub-213		rest		01		51.2097	0.222235	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-213/func/sub-213_task-rest_run-01_bold.json	sham	false	false	false	false	false
sub-213		rest		02		49.3252	0.208795	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-213/func/sub-213_task-rest_run-02_bold.json	vlpfc	false	false	false	false	false
sub-213		rest		03		52.2226	0.216346	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-213/func/sub-213_task-rest_run-03_bold.json	rtpj	false	false	false	false	false
sub-213		rest		04		47.4411	0.177701	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-213/func/sub-213_task-rest_run-04_bold.json	both	false	false	false	false	false
sub-214		rest		01		29.953	0.195022	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-214/func/sub-214_task-rest_run-01_bold.json	both	false	true	false	false	true
sub-214		rest		02		27.9228	0.213511	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-214/func/sub-214_task-rest_run-02_bold.json	rtpj	false	true	false	false	true
sub-214		rest		03		32.4911	0.135345	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-214/func/sub-214_task-rest_run-03_bold.json	vlpfc	false	false	false	false	false
sub-214		rest		04		35.027	0.124729	/ZPOOL/data/projects/r21-rest/derivatives/mriqc/sub-214/func/sub-214_task-rest_run-04_bold.json	sham	false	false	false	false	false
