participant	contrast	condition_a	condition_b	complete	a_tsnr	b_tsnr	delta_tsnr	a_fd_mean	b_fd_mean	delta_fd_mean	delta_tsnr_outlier	delta_fd_mean_outlier	n_delta_outliers	review
sub-189	both_minus_sham	both	sham	true	56.2637	56.0667	0.197	0.109461	0.121901	-0.01244	false	false	0	false
sub-189	both_minus_rtpj	both	rtpj	true	56.2637	53.3994	2.8643	0.109461	0.110937	-0.001476	false	false	0	false
sub-189	both_minus_vlpfc	both	vlpfc	true	56.2637	53.3924	2.8713	0.109461	0.131919	-0.022458	false	false	0	false
sub-189	rtpj_minus_vlpfc	rtpj	vlpfc	true	53.3994	53.3924	0.007	0.110937	0.131919	-0.020982	false	false	0	false
sub-189	rtpj_minus_sham	rtpj	sham	true	53.3994	56.0667	-2.6673	0.110937	0.121901	-0.010964	false	false	0	false
sub-189	vlpfc_minus_sham	vlpfc	sham	true	53.3924	56.0667	-2.6743	0.131919	0.121901	0.010018	false	false	0	false
sub-189	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	56.2637	53.3959	2.8678	0.109461	0.121428	-0.011967	false	false	0	false
sub-203	both_minus_sham	both	sham	true	51.9162	56.8281	-4.9119	0.222489	0.175815	0.046674	false	false	0	false
sub-203	both_minus_rtpj	both	rtpj	true	51.9162	56.8674	-4.9512	0.222489	0.200737	0.021752	false	false	0	false
sub-203	both_minus_vlpfc	both	vlpfc	true	51.9162	47.2044	4.7118	0.222489	0.170472	0.052017	false	false	0	false
sub-203	rtpj_minus_vlpfc	rtpj	vlpfc	true	56.8674	47.2044	9.663	0.200737	0.170472	0.030265	false	false	0	false
sub-203	rtpj_minus_sham	rtpj	sham	true	56.8674	56.8281	0.0393	0.200737	0.175815	0.024922	false	false	0	false
sub-203	vlpfc_minus_sham	vlpfc	sham	true	47.2044	56.8281	-9.6237	0.170472	0.175815	-0.005343	false	false	0	false
sub-203	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	51.9162	52.0359	-0.1197	0.222489	0.185605	0.0368845	false	false	0	false
sub-207	both_minus_sham	both	sham	true	24.675	24.2	0.475	0.242879	0.19317	0.049709	false	false	0	false
sub-207	both_minus_rtpj	both	rtpj	true	24.675	23.8659	0.8091	0.242879	0.139039	0.10384	false	false	0	false
sub-207	both_minus_vlpfc	both	vlpfc	true	24.675	22.7887	1.8863	0.242879	0.283175	-0.040296	false	false	0	false
sub-207	rtpj_minus_vlpfc	rtpj	vlpfc	true	23.8659	22.7887	1.0772	0.139039	0.283175	-0.144136	false	false	0	false
sub-207	rtpj_minus_sham	rtpj	sham	true	23.8659	24.2	-0.3341	0.139039	0.19317	-0.054131	false	false	0	false
sub-207	vlpfc_minus_sham	vlpfc	sham	true	22.7887	24.2	-1.4113	0.283175	0.19317	0.090005	false	false	0	false
sub-207	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	24.675	23.3273	1.3477	0.242879	0.211107	0.031772	false	false	0	false
sub-208	both_minus_sham	both	sham	true	46.4941	42.0557	4.4384	0.157518	0.227311	-0.069793	false	false	0	false
sub-208	both_minus_rtpj	both	rtpj	true	46.4941	36.4262	10.0679	0.157518	0.156329	0.001189	false	false	0	false
sub-208	both_minus_vlpfc	both	vlpfc	true	46.4941	34.3895	12.1046	0.157518	0.192562	-0.035044	false	false	0	false
sub-208	rtpj_minus_vlpfc	rtpj	vlpfc	true	36.4262	34.3895	2.0367	0.156329	0.192562	-0.036233	false	false	0	false
sub-208	rtpj_minus_sham	rtpj	sham	true	36.4262	42.0557	-5.6295	0.156329	0.227311	-0.070982	false	false	0	false
sub-208	vlpfc_minus_sham	vlpfc	sham	true	34.3895	42.0557	-7.6662	0.192562	0.227311	-0.034749	false	false	0	false
sub-208	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	46.4941	35.4078	11.0863	0.157518	0.174446	-0.0169275	true	false	1	true
sub-209	both_minus_sham	both	sham	true	25.1539	19.1101	6.0438	0.463731	0.523508	-0.059777	false	false	0	false
sub-209	both_minus_rtpj	both	rtpj	true	25.1539	20.6622	4.4917	0.463731	0.548939	-0.085208	false	false	0	false
sub-209	both_minus_vlpfc	both	vlpfc	true	25.1539	18.7313	6.4226	0.463731	0.848803	-0.385072	false	true	1	true
sub-209	rtpj_minus_vlpfc	rtpj	vlpfc	true	20.6622	18.7313	1.9309	0.548939	0.848803	-0.299864	false	true	1	true
sub-209	rtpj_minus_sham	rtpj	sham	true	20.6622	19.1101	1.5521	0.548939	0.523508	0.025431	false	false	0	false
sub-209	vlpfc_minus_sham	vlpfc	sham	true	18.7313	19.1101	-0.3788	0.848803	0.523508	0.325295	false	true	1	true
sub-209	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	25.1539	19.6968	5.45715	0.463731	0.698871	-0.23514	false	true	1	true
sub-210	both_minus_sham	both	sham	true	32.3543	38.2033	-5.849	0.28806	0.168574	0.119486	false	false	0	false
sub-210	both_minus_rtpj	both	rtpj	true	32.3543	39.1677	-6.8134	0.28806	0.207673	0.080387	false	false	0	false
sub-210	both_minus_vlpfc	both	vlpfc	true	32.3543	38.9908	-6.6365	0.28806	0.177585	0.110475	false	false	0	false
sub-210	rtpj_minus_vlpfc	rtpj	vlpfc	true	39.1677	38.9908	0.1769	0.207673	0.177585	0.030088	false	false	0	false
sub-210	rtpj_minus_sham	rtpj	sham	true	39.1677	38.2033	0.9644	0.207673	0.168574	0.039099	false	false	0	false
sub-210	vlpfc_minus_sham	vlpfc	sham	true	38.9908	38.2033	0.7875	0.177585	0.168574	0.009011	false	false	0	false
sub-210	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	32.3543	39.0793	-6.72495	0.28806	0.192629	0.095431	false	false	0	false
sub-211	both_minus_sham	both	sham	true	46.3643	48.6218	-2.2575	0.114624	0.180812	-0.066188	false	false	0	false
sub-211	both_minus_rtpj	both	rtpj	true	46.3643	43.3899	2.9744	0.114624	0.165144	-0.05052	false	false	0	false
sub-211	both_minus_vlpfc	both	vlpfc	true	46.3643	51.4714	-5.1071	0.114624	0.154989	-0.040365	false	false	0	false
sub-211	rtpj_minus_vlpfc	rtpj	vlpfc	true	43.3899	51.4714	-8.0815	0.165144	0.154989	0.010155	false	false	0	false
sub-211	rtpj_minus_sham	rtpj	sham	true	43.3899	48.6218	-5.2319	0.165144	0.180812	-0.015668	false	false	0	false
sub-211	vlpfc_minus_sham	vlpfc	sham	true	51.4714	48.6218	2.8496	0.154989	0.180812	-0.025823	false	false	0	false
sub-211	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	46.3643	47.4306	-1.06635	0.114624	0.160067	-0.0454425	false	false	0	false
sub-212	both_minus_sham	both	sham	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-212	both_minus_rtpj	both	rtpj	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-212	both_minus_vlpfc	both	vlpfc	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-212	rtpj_minus_vlpfc	rtpj	vlpfc	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-212	rtpj_minus_sham	rtpj	sham	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-212	vlpfc_minus_sham	vlpfc	sham	true	29.3971	33.2246	-3.8275	0.447492	0.323786	0.123706	false	false	0	false
sub-212	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	false	n/a	n/a	n/a	n/a	n/a	n/a	false	false	0	true
sub-213	both_minus_sham	both	sham	true	47.4411	51.2097	-3.7686	0.177701	0.222235	-0.044534	false	false	0	false
sub-213	both_minus_rtpj	both	rtpj	true	47.4411	52.2226	-4.7815	0.177701	0.216346	-0.038645	false	false	0	false
sub-213	both_minus_vlpfc	both	vlpfc	true	47.4411	49.3252	-1.8841	0.177701	0.208795	-0.031094	false	false	0	false
sub-213	rtpj_minus_vlpfc	rtpj	vlpfc	true	52.2226	49.3252	2.8974	0.216346	0.208795	0.007551	false	false	0	false
sub-213	rtpj_minus_sham	rtpj	sham	true	52.2226	51.2097	1.0129	0.216346	0.222235	-0.005889	false	false	0	false
sub-213	vlpfc_minus_sham	vlpfc	sham	true	49.3252	51.2097	-1.8845	0.208795	0.222235	-0.01344	false	false	0	false
sub-213	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	47.4411	50.7739	-3.3328	0.177701	0.21257	-0.0348695	false	false	0	false
sub-214	both_minus_sham	both	sham	true	29.953	35.027	-5.074	0.195022	0.124729	0.070293	false	false	0	false
sub-214	both_minus_rtpj	both	rtpj	true	29.953	27.9228	2.0302	0.195022	0.213511	-0.018489	false	false	0	false
sub-214	both_minus_vlpfc	both	vlpfc	true	29.953	32.4911	-2.5381	0.195022	0.135345	0.059677	false	false	0	false
sub-214	rtpj_minus_vlpfc	rtpj	vlpfc	true	27.9228	32.4911	-4.5683	0.213511	0.135345	0.078166	false	false	0	false
sub-214	rtpj_minus_sham	rtpj	sham	true	27.9228	35.027	-7.1042	0.213511	0.124729	0.088782	false	false	0	false
sub-214	vlpfc_minus_sham	vlpfc	sham	true	32.4911	35.027	-2.5359	0.135345	0.124729	0.010616	false	false	0	false
sub-214	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	29.953	30.2069	-0.25395	0.195022	0.174428	0.020594	false	false	0	false
sub-215	both_minus_sham	both	sham	true	47.3393	53.166	-5.8267	0.170511	0.123191	0.04732	false	false	0	false
sub-215	both_minus_rtpj	both	rtpj	true	47.3393	51.45	-4.1107	0.170511	0.127464	0.043047	false	false	0	false
sub-215	both_minus_vlpfc	both	vlpfc	true	47.3393	45.9092	1.4301	0.170511	0.184461	-0.01395	false	false	0	false
sub-215	rtpj_minus_vlpfc	rtpj	vlpfc	true	51.45	45.9092	5.5408	0.127464	0.184461	-0.056997	false	false	0	false
sub-215	rtpj_minus_sham	rtpj	sham	true	51.45	53.166	-1.716	0.127464	0.123191	0.004273	false	false	0	false
sub-215	vlpfc_minus_sham	vlpfc	sham	true	45.9092	53.166	-7.2568	0.184461	0.123191	0.06127	false	false	0	false
sub-215	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	47.3393	48.6796	-1.3403	0.170511	0.155963	0.0145485	false	false	0	false
sub-217	both_minus_sham	both	sham	true	30.72	34.8527	-4.1327	0.388012	0.283262	0.10475	false	false	0	false
sub-217	both_minus_rtpj	both	rtpj	true	30.72	27.5919	3.1281	0.388012	0.234362	0.15365	false	true	1	true
sub-217	both_minus_vlpfc	both	vlpfc	true	30.72	22.7956	7.9244	0.388012	0.448567	-0.060555	false	false	0	false
sub-217	rtpj_minus_vlpfc	rtpj	vlpfc	true	27.5919	22.7956	4.7963	0.234362	0.448567	-0.214205	false	true	1	true
sub-217	rtpj_minus_sham	rtpj	sham	true	27.5919	34.8527	-7.2608	0.234362	0.283262	-0.0489	false	false	0	false
sub-217	vlpfc_minus_sham	vlpfc	sham	true	22.7956	34.8527	-12.0571	0.448567	0.283262	0.165305	false	false	0	false
sub-217	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	30.72	25.1938	5.52625	0.388012	0.341465	0.0465475	false	false	0	false
sub-218	both_minus_sham	both	sham	true	19.3742	43.3041	-23.9299	0.760295	0.197952	0.562343	true	true	2	true
sub-218	both_minus_rtpj	both	rtpj	true	19.3742	27.6108	-8.2366	0.760295	0.496927	0.263368	false	true	1	true
sub-218	both_minus_vlpfc	both	vlpfc	true	19.3742	19.3146	0.0596	0.760295	0.571959	0.188336	false	true	1	true
sub-218	rtpj_minus_vlpfc	rtpj	vlpfc	true	27.6108	19.3146	8.2962	0.496927	0.571959	-0.075032	false	false	0	false
sub-218	rtpj_minus_sham	rtpj	sham	true	27.6108	43.3041	-15.6933	0.496927	0.197952	0.298975	true	true	2	true
sub-218	vlpfc_minus_sham	vlpfc	sham	true	19.3146	43.3041	-23.9895	0.571959	0.197952	0.374007	true	true	2	true
sub-218	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	19.3742	23.4627	-4.0885	0.760295	0.534443	0.225852	false	true	1	true
sub-219	both_minus_sham	both	sham	true	50.6913	51.519	-0.8277	0.161762	0.17302	-0.011258	false	false	0	false
sub-219	both_minus_rtpj	both	rtpj	true	50.6913	53.1646	-2.4733	0.161762	0.153584	0.008178	false	false	0	false
sub-219	both_minus_vlpfc	both	vlpfc	true	50.6913	52.4192	-1.7279	0.161762	0.168799	-0.007037	false	false	0	false
sub-219	rtpj_minus_vlpfc	rtpj	vlpfc	true	53.1646	52.4192	0.7454	0.153584	0.168799	-0.015215	false	false	0	false
sub-219	rtpj_minus_sham	rtpj	sham	true	53.1646	51.519	1.6456	0.153584	0.17302	-0.019436	false	false	0	false
sub-219	vlpfc_minus_sham	vlpfc	sham	true	52.4192	51.519	0.9002	0.168799	0.17302	-0.004221	false	false	0	false
sub-219	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	50.6913	52.7919	-2.1006	0.161762	0.161191	0.0005705	false	false	0	false
sub-220	both_minus_sham	both	sham	true	31.0146	25.5676	5.447	0.111669	0.140438	-0.028769	false	false	0	false
sub-220	both_minus_rtpj	both	rtpj	true	31.0146	32.8991	-1.8845	0.111669	0.0966547	0.0150143	false	false	0	false
sub-220	both_minus_vlpfc	both	vlpfc	true	31.0146	31.7739	-0.7593	0.111669	0.114319	-0.00265	false	false	0	false
sub-220	rtpj_minus_vlpfc	rtpj	vlpfc	true	32.8991	31.7739	1.1252	0.0966547	0.114319	-0.0176643	false	false	0	false
sub-220	rtpj_minus_sham	rtpj	sham	true	32.8991	25.5676	7.3315	0.0966547	0.140438	-0.0437833	false	false	0	false
sub-220	vlpfc_minus_sham	vlpfc	sham	true	31.7739	25.5676	6.2063	0.114319	0.140438	-0.026119	false	false	0	false
sub-220	both_minus_mean_rtpj_vlpfc	both	mean_rtpj_vlpfc	true	31.0146	32.3365	-1.3219	0.111669	0.105487	0.00618215	false	false	0	false
sub-221	both_minus_sham	both	sham	true	24.1509	22.1566	1.9943	0.307146	0.301476	0.00567	false	false	0	false
sub-221	both_minus_rtpj	both	rtpj	true	24.1509	23.8674	0.2835	0.307146	0.23706	0.070086	false	false	0	false
sub-221	both_minus_vlpfc	both	vlpfc	true	24.1509	18.787	5.3639	0.307146	0.36085	-0.053704	false	false	0	false
sub-221	rtpj_minus_vlpfc	rtpj	vlpfc	true	23.8674	18.787	5.0804	0.23706	0.36085	-0.12379	false	false	0	false
sub-221	rtpj_minus_sham	rtpj	sham	true	23.8674	22.1566	1.7108	0.23706	0.301476	-0.064416	false	false	0	false
