contrast	metric	n_complete	q1	q3	iqr	lower_fence	upper_fence	review_rule
both_minus_sham	tsnr	27	-4.5223	3.4952	8.0175	-16.5485	15.5214	condition A minus condition B outside fences
both_minus_sham	fd_mean	27	-0.0629825	0.0485145	0.111497	-0.230228	0.21576	condition A minus condition B outside fences
both_minus_rtpj	tsnr	27	-4.4461	3.05125	7.49735	-15.6921	14.2973	condition A minus condition B outside fences
both_minus_rtpj	fd_mean	27	-0.0383175	0.0380717	0.0763892	-0.152901	0.152655	condition A minus condition B outside fences
both_minus_vlpfc	tsnr	27	-3.50195	4.0325	7.53445	-14.8036	15.3342	condition A minus condition B outside fences
both_minus_vlpfc	fd_mean	27	-0.0403305	0.041425	0.0817555	-0.162964	0.164058	condition A minus condition B outside fences
rtpj_minus_vlpfc	tsnr	27	-3.62925	3.1399	6.76915	-13.783	13.2936	condition A minus condition B outside fences
rtpj_minus_vlpfc	fd_mean	27	-0.0660145	0.022137	0.0881515	-0.198242	0.154364	condition A minus condition B outside fences
rtpj_minus_sham	tsnr	27	-4.09665	1.6782	5.77485	-12.7589	10.3405	condition A minus condition B outside fences
rtpj_minus_sham	fd_mean	27	-0.0498865	0.0205175	0.070404	-0.155493	0.126124	condition A minus condition B outside fences
vlpfc_minus_sham	tsnr	28	-4.61005	1.0696	5.67965	-13.1295	9.58907	condition A minus condition B outside fences
vlpfc_minus_sham	fd_mean	28	-0.025897	0.068285	0.094182	-0.16717	0.209558	condition A minus condition B outside fences
both_minus_mean_rtpj_vlpfc	tsnr	27	-2.54832	2.84575	5.39408	-10.6394	10.9369	condition A minus condition B outside fences
both_minus_mean_rtpj_vlpfc	fd_mean	27	-0.0307915	0.0310353	0.0618268	-0.123532	0.123775	condition A minus condition B outside fences
