participant	run	condition	volumes	dim1	dim2	dim3	pixdim1	pixdim2	pixdim3	brain_mask_voxels	varying_voxels	varying_fraction	outside_mask_abs_max	confound_columns	pre_mean_temporal_sd	post_mean_temporal_sd	temporal_sd_ratio	data_min	data_max	data_mean	data_sd	status	file
sub-189	02	sham	240	52	64	54	3.000000	3.000000	3.000000	70464	70464	1.000000	0.000000	38	10.384199	6.849551	0.659613	-119.358696	124.518372	-0.000000	7.135946	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-189/func/sub-189_task-rest_run-02_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-189	01	rtpj	240	52	64	54	3.000000	3.000000	3.000000	70698	70698	1.000000	0.000000	38	10.997673	6.633495	0.603173	-110.676071	102.831573	-0.000000	6.886818	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-189/func/sub-189_task-rest_run-01_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-189	04	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	71246	71246	1.000000	0.000000	38	11.444528	7.221757	0.631023	-128.538391	110.805710	-0.000000	7.560301	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-189/func/sub-189_task-rest_run-04_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-189	03	both	240	52	64	54	3.000000	3.000000	3.000000	71146	71146	1.000000	0.000000	39	10.198777	6.863197	0.672943	-123.525291	135.846222	-0.000000	7.180555	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-189/func/sub-189_task-rest_run-03_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-203	03	sham	240	52	64	54	3.000000	3.000000	3.000000	65297	65297	1.000000	0.000000	38	9.993563	6.760119	0.676447	-177.775696	275.890350	0.000000	7.312714	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-203/func/sub-203_task-rest_run-03_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-203	04	rtpj	240	52	64	54	3.000000	3.000000	3.000000	65369	65369	1.000000	0.000000	37	9.984492	6.839369	0.684999	-171.834229	260.239807	0.000000	7.383366	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-203/func/sub-203_task-rest_run-04_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
sub-203	01	vlpfc	240	52	64	54	3.000000	3.000000	3.000000	65114	65114	1.000000	0.000000	37	11.657889	6.431845	0.551716	-149.554047	218.144135	0.000000	6.830034	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-203/func/sub-203_task-rest_run-01_space-MNI152NLin6Asym_condition-vlpfc_order-03_desc-denoised_bold_5mm.nii.gz
sub-203	02	both	240	52	64	54	3.000000	3.000000	3.000000	65588	65588	1.000000	0.000000	37	10.941585	6.960919	0.636189	-211.015854	223.913895	0.000000	7.531639	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-203/func/sub-203_task-rest_run-02_space-MNI152NLin6Asym_condition-both_order-04_desc-denoised_bold_5mm.nii.gz
sub-207	02	sham	240	52	64	54	3.000000	3.000000	3.000000	70162	70162	1.000000	0.000000	37	17.641965	14.320087	0.811706	-185.524811	261.323822	0.000000	14.676038	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-207/func/sub-207_task-rest_run-02_space-MNI152NLin6Asym_condition-sham_order-01_desc-denoised_bold_5mm.nii.gz
sub-207	01	rtpj	240	52	64	54	3.000000	3.000000	3.000000	70246	70246	1.000000	0.000000	37	17.373549	14.212532	0.818056	-200.499710	218.782120	0.000000	14.554866	ok	/ZPOOL/data/projects/r21-rest/derivatives/fsl/denoised/sub-207/func/sub-207_task-rest_run-01_space-MNI152NLin6Asym_condition-rtpj_order-02_desc-denoised_bold_5mm.nii.gz
